surrogate,percentile,trades
1,19.4,48
2,48.2,56
3,21.4,47
4,96.8,48
5,98.8,45
6,82.4,47
7,53.8,48
8,87.4,59
9,40.2,39
10,31.0,42
11,86.0,52
12,19.2,41
13,64.8,49
14,83.2,40
15,19.0,52
16,14.6,56
17,56.2,58
18,14.2,51
19,72.2,49
20,6.8,49
21,59.0,49
22,58.2,46
23,0.0,54
24,67.6,43
25,55.8,51
26,60.2,49
27,11.4,46
28,6.0,60
29,20.2,44
30,39.8,48
31,36.6,39
32,65.4,51
33,40.8,45
34,63.8,44
35,79.8,42
36,46.8,49
37,25.6,44
38,24.8,56
39,3.8,49
40,33.2,47
41,4.8,49
42,98.6,44
43,97.0,49
44,19.2,59
45,92.0,50
46,74.4,45
47,65.2,45
48,45.4,52
49,1.2,53
50,11.2,47
51,49.8,49
52,65.8,49
53,93.4,46
54,1.6,49
55,29.8,48
56,90.2,43
57,36.6,47
58,39.8,46
59,2.0,49
60,66.4,52
61,75.2,44
62,37.6,50
63,20.6,51
64,15.8,44
65,65.6,46
66,40.4,50
67,8.0,42
68,18.6,51
69,4.4,49
70,54.4,47
71,42.4,59
72,79.4,45
73,89.0,51
74,56.8,52
75,59.8,44
76,82.4,54
77,71.6,48
78,83.8,52
79,34.4,48
80,57.8,37
81,88.8,50
82,2.6,47
83,19.4,49
84,47.6,52
85,23.4,49
86,90.6,46
87,25.0,49
88,21.2,46
89,53.2,50
90,11.8,54
91,77.6,49
92,95.8,52
93,33.8,46
94,54.2,52
95,49.0,48
96,38.8,55
97,66.2,49
98,6.2,52
99,68.0,52
100,99.6,42
101,82.0,56
102,0.4,54
103,75.8,44
104,50.6,54
105,43.4,52
106,78.6,46
107,20.4,53
108,25.4,50
109,86.2,50
110,71.8,44
111,0.0,62
112,0.2,49
113,32.2,51
114,52.2,53
115,36.2,54
116,80.6,52
117,93.2,53
118,4.0,45
119,68.0,41
120,10.6,42
121,41.8,43
122,89.4,55
123,55.0,48
124,51.4,41
125,50.0,44
126,13.0,46
127,78.0,49
128,36.6,44
129,4.4,51
130,45.4,45
131,31.2,47
132,56.6,48
133,54.6,47
134,35.0,51
135,21.4,45
136,76.8,54
137,74.8,48
138,51.6,50
139,42.6,43
140,47.0,48
141,10.8,59
142,67.6,51
143,29.0,52
144,82.2,50
145,53.6,45
146,92.0,38
147,77.6,52
148,70.8,44
149,71.8,42
150,87.6,52
151,63.8,49
152,97.6,40
153,53.6,53
154,20.6,46
155,86.0,56
156,0.0,57
157,45.0,56
158,4.6,38
159,32.2,50
160,0.8,54
161,86.0,52
162,12.4,51
163,29.4,50
164,45.4,44
165,37.6,49
166,42.0,52
167,77.4,49
168,91.4,46
169,79.8,49
170,9.0,59
171,78.8,50
172,48.8,42
173,48.8,47
174,76.2,52
175,41.6,50
176,29.8,45
177,69.8,49
178,72.8,51
179,7.6,50
180,13.0,49
181,97.0,45
182,14.2,54
183,16.0,51
184,2.8,43
185,80.0,44
186,22.6,48
187,89.0,44
188,12.6,49
189,10.8,54
190,43.4,43
191,86.2,46
192,67.2,41
193,47.8,47
194,4.4,49
195,7.8,52
196,79.6,47
197,6.6,52
198,88.8,43
199,52.6,40
200,6.8,40
