surrogate,percentile,trades
1,21.8,38
2,70.6,40
3,20.6,35
4,89.4,34
5,98.8,35
6,75.0,38
7,44.4,33
8,79.2,37
9,47.4,35
10,39.2,35
11,83.4,36
12,22.6,32
13,51.0,36
14,86.8,31
15,28.6,36
16,28.2,37
17,57.4,41
18,42.2,37
19,51.6,32
20,37.8,37
21,44.0,36
22,39.6,37
23,0.0,42
24,30.4,34
25,28.6,36
26,37.8,40
27,8.4,34
28,0.8,41
29,5.8,36
30,38.6,36
31,68.6,34
32,91.2,35
33,64.0,36
34,62.6,36
35,97.2,33
36,70.6,35
37,27.2,36
38,19.4,39
39,5.6,42
40,7.4,36
41,19.6,36
42,98.6,32
43,92.4,38
44,2.2,40
45,90.6,35
46,75.2,36
47,77.4,34
48,6.2,38
49,0.8,42
50,12.0,37
51,30.8,34
52,47.8,33
53,84.2,33
54,1.8,38
55,21.2,36
56,95.6,34
57,34.6,36
58,47.2,36
59,10.0,36
60,67.4,35
61,72.2,33
62,40.0,36
63,57.2,35
64,16.2,35
65,74.8,34
66,52.6,36
67,25.8,30
68,22.0,38
69,8.8,36
70,78.4,36
71,26.2,38
72,69.0,31
73,87.6,36
74,83.6,39
75,63.6,35
76,55.8,46
77,52.0,36
78,61.4,37
79,25.6,39
80,26.6,30
81,94.0,34
82,2.6,37
83,42.0,37
84,46.2,39
85,26.6,39
86,89.2,34
87,3.0,34
88,17.0,35
89,62.2,38
90,50.6,40
91,85.2,37
92,99.4,34
93,32.2,37
94,21.2,36
95,61.8,32
96,14.8,34
97,48.4,33
98,31.6,40
99,98.8,37
100,99.8,35
101,42.4,35
102,1.6,39
103,55.0,31
104,51.8,35
105,52.0,39
106,61.8,37
107,20.8,35
108,26.6,35
109,93.2,35
110,74.4,33
111,1.2,41
112,2.2,34
113,30.6,32
114,50.8,39
115,34.2,42
116,72.0,35
117,92.0,36
118,1.8,36
119,58.6,34
120,4.4,34
121,33.8,34
122,78.6,35
123,84.2,37
124,73.2,34
125,63.4,37
126,7.2,34
127,79.0,36
128,33.8,36
129,23.8,35
130,38.2,36
131,37.0,38
132,44.6,35
133,32.8,36
134,7.4,37
135,50.6,34
136,89.8,42
137,80.0,37
138,94.0,34
139,26.8,36
140,13.8,36
141,0.6,41
142,54.8,36
143,32.6,38
144,35.4,38
145,72.6,36
146,,too few trades to rank
147,83.2,32
148,64.2,36
149,75.0,30
150,96.2,35
151,67.6,38
152,96.8,32
153,49.6,39
154,29.0,30
155,60.8,38
156,3.4,38
157,71.8,40
158,7.8,32
159,49.2,38
160,1.2,38
161,90.6,37
162,1.0,36
163,41.6,36
164,22.4,34
165,33.2,35
166,52.2,40
167,64.4,30
168,96.8,35
169,95.2,31
170,8.2,42
171,81.4,39
172,58.8,35
173,83.2,35
174,87.4,39
175,53.4,37
176,51.6,33
177,74.6,38
178,65.0,36
179,37.8,35
180,13.4,34
181,95.8,33
182,41.8,38
183,60.2,36
184,2.8,35
185,97.4,35
186,23.6,37
187,69.8,33
188,19.8,38
189,30.4,38
190,15.2,33
191,71.0,37
192,68.2,30
193,30.4,37
194,18.4,39
195,12.2,40
196,65.2,36
197,9.8,38
198,93.4,32
199,64.6,33
200,2.2,33
