family,replicate,n_trades,mean_r
rotation,0,2038,-0.138061
rotation,1,2036,-0.161893
rotation,2,2039,-0.156295
rotation,3,2039,-0.177333
rotation,4,2039,-0.127545
rotation,5,2038,-0.212139
rotation,6,2037,-0.153403
rotation,7,2039,-0.247965
rotation,8,2039,-0.117022
rotation,9,2039,-0.161715
rotation,10,2038,-0.141790
rotation,11,2038,-0.180246
rotation,12,2038,-0.102670
rotation,13,2040,-0.183544
rotation,14,2039,-0.202851
rotation,15,2038,-0.164596
rotation,16,2038,-0.191076
rotation,17,2039,-0.161508
rotation,18,2038,-0.164908
rotation,19,2039,-0.154048
rotation,20,2039,-0.170782
rotation,21,2038,-0.147106
rotation,22,2036,-0.170215
rotation,23,2038,-0.130157
rotation,24,2039,-0.173947
rotation,25,2039,-0.122791
rotation,26,2039,-0.197463
rotation,27,2038,-0.126802
rotation,28,2038,-0.155832
rotation,29,2038,-0.121771
rotation,30,2038,-0.146683
rotation,31,2039,-0.153300
rotation,32,2039,-0.153552
rotation,33,2039,-0.125631
rotation,34,2038,-0.116086
rotation,35,2039,-0.191465
rotation,36,2039,-0.199212
rotation,37,2038,-0.145949
rotation,38,2039,-0.139607
rotation,39,2039,-0.193718
rotation,40,2040,-0.129794
rotation,41,2037,-0.195580
rotation,42,2039,-0.197385
rotation,43,2037,-0.121246
rotation,44,2039,-0.165161
rotation,45,2038,-0.165640
rotation,46,2038,-0.185984
rotation,47,2039,-0.158271
rotation,48,2039,-0.147037
rotation,49,2038,-0.138625
rotation,50,2037,-0.182457
rotation,51,2039,-0.207778
rotation,52,2039,-0.227416
rotation,53,2038,-0.183292
rotation,54,2038,-0.154762
rotation,55,2039,-0.184624
rotation,56,2039,-0.157118
rotation,57,2037,-0.108241
rotation,58,2039,-0.142564
rotation,59,2039,-0.173084
rotation,60,2039,-0.136558
rotation,61,2039,-0.143382
rotation,62,2039,-0.167135
rotation,63,2039,-0.128860
rotation,64,2039,-0.137554
rotation,65,2039,-0.127001
rotation,66,2039,-0.177499
rotation,67,2039,-0.146682
rotation,68,2038,-0.153141
rotation,69,2039,-0.193713
rotation,70,2039,-0.183922
rotation,71,2039,-0.149547
rotation,72,2039,-0.171400
rotation,73,2038,-0.159351
rotation,74,2039,-0.169512
rotation,75,2038,-0.177042
rotation,76,2037,-0.194640
rotation,77,2039,-0.123212
rotation,78,2039,-0.156370
rotation,79,2039,-0.159202
rotation,80,2035,-0.192023
rotation,81,2038,-0.163927
rotation,82,2038,-0.111340
rotation,83,2038,-0.145522
rotation,84,2039,-0.164824
rotation,85,2039,-0.205979
rotation,86,2037,-0.114502
rotation,87,2039,-0.194532
rotation,88,2039,-0.150860
rotation,89,2039,-0.199106
rotation,90,2039,-0.207171
rotation,91,2038,-0.150801
rotation,92,2039,-0.139750
rotation,93,2039,-0.203819
rotation,94,2039,-0.153415
rotation,95,2038,-0.140324
rotation,96,2039,-0.169539
rotation,97,2039,-0.130829
rotation,98,2038,-0.183743
rotation,99,2038,-0.163481
rotation,100,2039,-0.135184
rotation,101,2039,-0.171054
rotation,102,2037,-0.133732
rotation,103,2039,-0.137273
rotation,104,2039,-0.167680
rotation,105,2039,-0.147490
rotation,106,2038,-0.177833
rotation,107,2039,-0.168691
rotation,108,2037,-0.149004
rotation,109,2038,-0.170007
rotation,110,2037,-0.180379
rotation,111,2039,-0.155647
rotation,112,2037,-0.184202
rotation,113,2039,-0.143282
rotation,114,2039,-0.135256
rotation,115,2039,-0.137274
rotation,116,2038,-0.166340
rotation,117,2038,-0.156563
rotation,118,2039,-0.106402
rotation,119,2037,-0.156505
rotation,120,2039,-0.193088
rotation,121,2039,-0.146051
rotation,122,2039,-0.168848
rotation,123,2038,-0.131314
rotation,124,2039,-0.220930
rotation,125,2038,-0.207170
rotation,126,2038,-0.167215
rotation,127,2039,-0.136382
rotation,128,2039,-0.186101
rotation,129,2039,-0.151865
rotation,130,2036,-0.167277
rotation,131,2039,-0.125390
rotation,132,2037,-0.201005
rotation,133,2039,-0.136228
rotation,134,2037,-0.175553
rotation,135,2036,-0.115631
rotation,136,2038,-0.164871
rotation,137,2039,-0.150310
rotation,138,2039,-0.158121
rotation,139,2037,-0.174185
rotation,140,2039,-0.108190
rotation,141,2038,-0.153342
rotation,142,2039,-0.146682
rotation,143,2039,-0.205337
rotation,144,2039,-0.182800
rotation,145,2039,-0.166827
rotation,146,2038,-0.141134
rotation,147,2039,-0.182233
rotation,148,2039,-0.182516
rotation,149,2039,-0.185073
rotation,150,2037,-0.200567
rotation,151,2039,-0.238773
rotation,152,2039,-0.177880
rotation,153,2039,-0.105368
rotation,154,2038,-0.140917
rotation,155,2039,-0.154123
rotation,156,2039,-0.169465
rotation,157,2039,-0.189018
rotation,158,2039,-0.151377
rotation,159,2039,-0.144825
rotation,160,2039,-0.176788
rotation,161,2037,-0.169715
rotation,162,2038,-0.138162
rotation,163,2039,-0.122574
rotation,164,2037,-0.189814
rotation,165,2038,-0.223669
rotation,166,2038,-0.172891
rotation,167,2039,-0.224802
rotation,168,2038,-0.151950
rotation,169,2038,-0.134518
rotation,170,2039,-0.192698
rotation,171,2040,-0.148395
rotation,172,2038,-0.148940
rotation,173,2039,-0.108151
rotation,174,2037,-0.193383
rotation,175,2039,-0.141862
rotation,176,2039,-0.169497
rotation,177,2039,-0.163647
rotation,178,2039,-0.182724
rotation,179,2039,-0.169801
rotation,180,2039,-0.164087
rotation,181,2038,-0.190062
rotation,182,2039,-0.151478
rotation,183,2039,-0.169060
rotation,184,2038,-0.152995
rotation,185,2037,-0.173280
rotation,186,2039,-0.194273
rotation,187,2040,-0.177743
rotation,188,2039,-0.133924
rotation,189,2037,-0.134241
rotation,190,2039,-0.177142
rotation,191,2039,-0.147928
rotation,192,2038,-0.183743
rotation,193,2038,-0.183811
rotation,194,2039,-0.186800
rotation,195,2039,-0.149486
rotation,196,2039,-0.098726
rotation,197,2039,-0.151046
rotation,198,2039,-0.117193
rotation,199,2039,-0.152821
rotation,200,2039,-0.063737
rotation,201,2038,-0.196176
rotation,202,2038,-0.130987
rotation,203,2039,-0.173176
rotation,204,2038,-0.074283
rotation,205,2038,-0.142141
rotation,206,2039,-0.156292
rotation,207,2039,-0.193311
rotation,208,2038,-0.175512
rotation,209,2037,-0.159527
rotation,210,2038,-0.204978
rotation,211,2039,-0.175038
rotation,212,2039,-0.172400
rotation,213,2038,-0.176219
rotation,214,2039,-0.155493
rotation,215,2038,-0.154240
rotation,216,2037,-0.152637
rotation,217,2039,-0.181504
rotation,218,2039,-0.139672
rotation,219,2039,-0.168883
rotation,220,2040,-0.144232
rotation,221,2039,-0.182038
rotation,222,2039,-0.153412
rotation,223,2039,-0.124399
rotation,224,2039,-0.174572
rotation,225,2038,-0.151884
rotation,226,2039,-0.144917
rotation,227,2039,-0.138919
rotation,228,2037,-0.219981
rotation,229,2039,-0.184447
rotation,230,2037,-0.136878
rotation,231,2038,-0.193391
rotation,232,2039,-0.188928
rotation,233,2038,-0.141887
rotation,234,2039,-0.137155
rotation,235,2038,-0.156195
rotation,236,2038,-0.150791
rotation,237,2039,-0.123069
rotation,238,2039,-0.150804
rotation,239,2038,-0.174630
rotation,240,2039,-0.135326
