family,replicate,n_trades,mean_r
rotation,0,47,0.209504
rotation,1,47,0.375012
rotation,2,48,0.148579
rotation,3,46,0.052695
rotation,4,47,0.079904
rotation,5,47,0.364007
rotation,6,47,0.469736
rotation,7,48,0.329358
rotation,8,48,0.251052
rotation,9,46,0.052695
rotation,10,47,-0.035228
rotation,11,46,0.091943
rotation,12,47,0.020323
rotation,13,47,0.332042
rotation,14,47,0.154579
rotation,15,45,0.268517
rotation,16,48,0.179760
rotation,17,46,0.192444
rotation,18,47,0.050365
rotation,19,47,0.285054
rotation,20,46,0.275350
rotation,21,47,0.266295
rotation,22,48,-0.080497
rotation,23,47,0.078131
rotation,24,47,0.323274
rotation,25,47,0.251036
rotation,26,47,0.188194
rotation,27,47,0.268116
rotation,28,46,0.332776
rotation,29,47,0.259652
rotation,30,45,0.125640
rotation,31,47,0.389147
rotation,32,47,-0.119137
rotation,33,47,-0.133512
rotation,34,48,0.258948
rotation,35,47,0.007101
rotation,36,47,0.230641
rotation,37,47,0.574825
rotation,38,47,-0.152950
rotation,39,47,-0.101036
rotation,40,47,0.491609
rotation,41,47,0.012417
rotation,42,47,0.038089
rotation,43,47,0.178745
rotation,44,47,0.048476
rotation,45,47,0.155111
rotation,46,47,-0.063945
rotation,47,47,-0.081927
rotation,48,47,-0.037076
rotation,49,47,0.439401
rotation,50,48,0.127739
rotation,51,47,0.239706
rotation,52,45,-0.052698
rotation,53,46,0.397474
rotation,54,45,0.292439
rotation,55,46,0.165595
rotation,56,46,0.235207
rotation,57,47,0.074844
rotation,58,48,-0.036752
rotation,59,47,0.192547
rotation,60,47,0.386472
rotation,61,48,0.474954
rotation,62,47,-0.060963
rotation,63,47,0.198400
rotation,64,47,0.376953
rotation,65,47,0.304322
rotation,66,47,-0.256252
rotation,67,47,-0.144814
rotation,68,47,0.028621
rotation,69,47,0.073661
rotation,70,47,0.263971
rotation,71,46,-0.007534
rotation,72,47,0.346230
rotation,73,47,0.014151
rotation,74,47,0.103968
rotation,75,47,0.092644
rotation,76,46,0.273617
rotation,77,47,0.055813
rotation,78,47,0.449011
rotation,79,47,0.151958
rotation,80,47,0.407510
rotation,81,47,0.148508
rotation,82,47,-0.048239
rotation,83,47,0.217345
rotation,84,47,-0.055465
rotation,85,47,0.137306
rotation,86,47,0.267710
rotation,87,47,-0.191842
rotation,88,47,0.192187
rotation,89,47,0.557225
rotation,90,45,0.239574
rotation,91,47,0.054239
rotation,92,48,0.167302
rotation,93,47,0.194704
rotation,94,47,-0.059562
rotation,95,47,0.262370
rotation,96,47,0.352749
rotation,97,47,0.147491
rotation,98,48,-0.107840
rotation,99,47,0.323616
rotation,100,47,0.125258
rotation,101,47,0.429690
rotation,102,47,0.325939
rotation,103,47,0.316027
rotation,104,47,-0.260782
rotation,105,47,-0.081927
rotation,106,47,0.083881
rotation,107,46,0.157544
rotation,108,44,-0.086824
rotation,109,47,0.395592
rotation,110,47,0.284270
rotation,111,47,0.116578
rotation,112,46,-0.170091
rotation,113,47,-0.065025
rotation,114,45,0.257748
rotation,115,47,0.287955
rotation,116,47,0.156995
rotation,117,47,0.222436
rotation,118,47,0.050355
rotation,119,47,0.499414
rotation,120,47,0.235524
rotation,121,47,0.222100
rotation,122,47,0.208772
rotation,123,48,0.127739
rotation,124,47,0.119046
rotation,125,46,0.237088
rotation,126,47,0.200797
rotation,127,47,0.152062
rotation,128,47,0.102839
rotation,129,47,0.097771
rotation,130,47,0.034650
rotation,131,46,0.547941
rotation,132,47,-0.101036
rotation,133,47,-0.091885
rotation,134,47,0.373189
rotation,135,46,0.419821
rotation,136,48,0.236357
rotation,137,47,0.196158
rotation,138,47,0.071215
rotation,139,47,0.469736
rotation,140,47,0.292693
rotation,141,46,-0.082765
rotation,142,47,0.070723
rotation,143,47,0.180189
rotation,144,47,0.553316
rotation,145,47,0.327738
rotation,146,47,0.488300
rotation,147,48,0.551806
rotation,148,47,0.000972
rotation,149,48,0.187961
rotation,150,46,-0.187779
rotation,151,46,0.208962
rotation,152,47,0.382719
rotation,153,47,-0.089661
rotation,154,47,-0.119005
rotation,155,47,0.202246
rotation,156,46,0.087551
rotation,157,47,0.007101
rotation,158,47,0.605339
rotation,159,47,0.369361
rotation,160,48,0.094008
rotation,161,47,0.209802
rotation,162,47,0.085360
rotation,163,48,0.083116
rotation,164,48,-0.086115
rotation,165,48,0.008342
rotation,166,47,-0.048239
rotation,167,47,0.280547
rotation,168,47,0.361384
rotation,169,47,0.095134
rotation,170,47,0.267529
rotation,171,46,0.157494
rotation,172,45,0.236343
rotation,173,47,0.375963
rotation,174,47,0.012417
rotation,175,46,-0.110763
rotation,176,46,0.532057
rotation,177,48,0.285839
rotation,178,47,-0.137245
rotation,179,48,-0.108891
rotation,180,47,0.028621
rotation,181,48,-0.160545
rotation,182,48,0.383945
rotation,183,47,-0.060963
rotation,184,47,0.304720
rotation,185,47,-0.075813
rotation,186,47,0.114673
rotation,187,47,0.229115
rotation,188,47,0.495850
rotation,189,46,0.212397
rotation,190,48,-0.153071
rotation,191,47,0.037355
rotation,192,48,-0.107840
rotation,193,47,0.080694
rotation,194,47,-0.121804
rotation,195,46,-0.054139
rotation,196,47,0.388636
rotation,197,46,0.225431
rotation,198,47,0.141312
rotation,199,45,0.116176
rotation,200,47,0.231316
rotation,201,48,-0.178345
rotation,202,48,0.369236
rotation,203,47,0.280602
rotation,204,47,0.204994
rotation,205,47,0.143499
rotation,206,47,-0.092919
rotation,207,47,0.176735
rotation,208,47,0.037692
rotation,209,48,0.141756
rotation,210,48,0.076606
rotation,211,47,0.029306
rotation,212,47,0.108474
rotation,213,47,0.462610
rotation,214,46,0.275568
rotation,215,47,0.285054
rotation,216,47,0.008295
rotation,217,46,0.164131
rotation,218,47,0.100156
rotation,219,47,0.046437
rotation,220,47,0.088563
rotation,221,47,-0.185427
rotation,222,47,0.261584
rotation,223,47,-0.032293
rotation,224,47,0.187349
rotation,225,47,0.282351
rotation,226,46,0.278301
rotation,227,47,0.287762
rotation,228,47,-0.182996
rotation,229,46,0.250064
rotation,230,45,-0.126409
rotation,231,47,0.155126
rotation,232,47,0.168794
rotation,233,47,0.118215
rotation,234,48,0.022572
rotation,235,47,0.099801
rotation,236,47,-0.329015
rotation,237,46,0.183974
rotation,238,47,0.065279
rotation,239,47,0.224683
rotation,240,47,0.064110
rotation,241,47,0.226801
rotation,242,47,0.132234
rotation,243,47,0.009231
rotation,244,47,0.030798
rotation,245,47,0.372934
rotation,246,46,-0.054139
rotation,247,47,0.071215
rotation,248,48,0.202721
rotation,249,46,0.287853
rotation,250,46,0.001116
rotation,251,48,0.173682
rotation,252,46,0.264828
rotation,253,45,-0.053580
rotation,254,47,-0.033327
rotation,255,47,0.307163
rotation,256,47,0.429658
rotation,257,47,0.022060
rotation,258,48,0.060550
rotation,259,47,0.423656
rotation,260,47,0.297043
rotation,261,47,0.217730
rotation,262,46,-0.180385
rotation,263,45,0.376438
rotation,264,47,-0.109712
rotation,265,47,0.522404
rotation,266,47,0.079052
rotation,267,47,-0.146194
rotation,268,47,0.240381
rotation,269,45,0.174735
rotation,270,47,0.148508
rotation,271,47,0.081301
rotation,272,46,0.332776
rotation,273,47,0.674914
rotation,274,47,0.039914
rotation,275,47,0.498340
rotation,276,47,0.050509
rotation,277,47,0.234033
rotation,278,47,0.130331
rotation,279,47,-0.102569
rotation,280,47,0.317681
rotation,281,47,0.574150
rotation,282,46,0.135843
rotation,283,47,0.156064
rotation,284,46,-0.012205
rotation,285,46,0.414529
rotation,286,46,0.437962
rotation,287,48,0.066123
rotation,288,47,0.063363
rotation,289,47,0.487558
rotation,290,45,-0.053580
rotation,291,47,0.631093
rotation,292,47,0.487558
rotation,293,47,0.308262
rotation,294,45,0.088192
rotation,295,47,0.150374
rotation,296,48,-0.276636
rotation,297,47,0.203403
rotation,298,47,0.110677
rotation,299,47,0.214410
rotation,300,46,0.271107
rotation,301,47,0.199200
rotation,302,47,0.103356
rotation,303,47,0.261904
rotation,304,46,-0.180385
rotation,305,46,-0.034362
rotation,306,47,0.137896
rotation,307,47,0.238475
rotation,308,47,0.113840
rotation,309,46,0.308454
rotation,310,47,0.308906
rotation,311,47,0.207153
rotation,312,48,0.095654
rotation,313,47,0.371140
rotation,314,47,0.174309
rotation,315,46,0.297295
rotation,316,47,-0.052549
rotation,317,47,-0.007676
rotation,318,47,-0.008086
rotation,319,47,0.139792
rotation,320,47,0.157567
rotation,321,48,-0.171650
rotation,322,47,0.416132
rotation,323,47,0.013410
rotation,324,47,0.048634
rotation,325,47,0.213370
rotation,326,47,0.102564
rotation,327,47,0.179959
rotation,328,46,0.605391
rotation,329,46,0.133304
rotation,330,47,0.031055
rotation,331,46,0.214525
rotation,332,47,0.405394
rotation,333,47,0.524889
rotation,334,46,-0.089741
rotation,335,47,0.153235
rotation,336,47,0.338409
rotation,337,47,0.352749
rotation,338,47,0.280456
rotation,339,47,0.509620
rotation,340,47,0.102538
rotation,341,47,-0.105064
rotation,342,47,0.242604
rotation,343,46,0.194670
rotation,344,47,0.248277
rotation,345,47,0.202683
rotation,346,47,-0.046756
rotation,347,46,0.107162
rotation,348,47,0.294677
rotation,349,45,0.236343
rotation,350,47,0.523680
rotation,351,47,0.291145
rotation,352,47,-0.155036
rotation,353,47,0.270583
rotation,354,48,0.037767
rotation,355,47,0.399724
rotation,356,47,0.153532
rotation,357,47,0.229576
rotation,358,47,0.233770
rotation,359,47,-0.093809
rotation,360,46,0.196152
rotation,361,46,0.249489
rotation,362,47,0.213992
rotation,363,47,0.436253
rotation,364,47,-0.020311
rotation,365,47,-0.371589
rotation,366,47,0.091444
rotation,367,47,0.013888
rotation,368,47,-0.051224
rotation,369,44,0.085540
rotation,370,47,0.273626
rotation,371,48,0.017459
rotation,372,46,0.395712
rotation,373,48,-0.121474
rotation,374,48,-0.008142
rotation,375,47,-0.060493
rotation,376,47,-0.032293
rotation,377,45,0.248134
rotation,378,47,0.371359
rotation,379,48,0.090243
rotation,380,46,0.135843
rotation,381,47,0.352749
rotation,382,47,0.103929
rotation,383,47,0.024517
rotation,384,47,-0.056121
rotation,385,48,0.111468
rotation,386,47,0.486252
rotation,387,47,0.501385
rotation,388,48,0.127739
rotation,389,47,0.125849
rotation,390,45,-0.080256
rotation,391,46,0.009745
rotation,392,47,0.278050
rotation,393,48,0.224866
rotation,394,47,0.259467
rotation,395,46,0.124953
rotation,396,47,0.052008
rotation,397,48,0.102034
rotation,398,46,0.001072
rotation,399,47,0.270602
rotation,400,47,0.083003
rotation,401,47,0.251977
rotation,402,47,0.207960
rotation,403,48,0.046869
rotation,404,47,0.204560
rotation,405,47,0.121740
rotation,406,47,-0.005283
rotation,407,47,-0.147764
rotation,408,47,-0.029343
rotation,409,46,0.532393
rotation,410,48,-0.004826
rotation,411,47,0.192683
rotation,412,47,0.025750
rotation,413,48,0.333036
rotation,414,46,0.212397
rotation,415,47,0.014576
rotation,416,46,0.156902
rotation,417,47,-0.089661
rotation,418,47,0.482951
rotation,419,47,0.144104
rotation,420,47,0.038089
rotation,421,47,0.302916
rotation,422,47,0.055813
rotation,423,47,-0.006825
rotation,424,47,0.162455
rotation,425,48,0.285839
rotation,426,48,0.089781
rotation,427,48,0.190974
rotation,428,47,0.125742
rotation,429,47,0.453859
rotation,430,47,0.310525
rotation,431,46,-0.009595
rotation,432,47,0.047264
rotation,433,47,0.095134
rotation,434,47,0.112043
rotation,435,47,0.121740
rotation,436,47,0.203403
rotation,437,47,0.326095
rotation,438,46,0.217134
rotation,439,47,0.434984
rotation,440,47,0.293012
rotation,441,47,0.075034
rotation,442,45,0.125640
rotation,443,45,-0.126409
rotation,444,47,0.073429
rotation,445,48,0.251274
rotation,446,46,0.320213
rotation,447,47,-0.084185
rotation,448,46,0.434128
rotation,449,47,0.126460
rotation,450,47,0.210227
rotation,451,47,-0.056121
rotation,452,47,-0.116992
rotation,453,47,0.200797
rotation,454,46,0.109286
rotation,455,48,0.329358
rotation,456,47,0.264974
rotation,457,47,0.032819
rotation,458,47,-0.012508
rotation,459,46,0.271107
rotation,460,45,-0.052698
rotation,461,46,0.211745
rotation,462,46,0.231583
rotation,463,47,0.351861
rotation,464,47,0.058238
rotation,465,47,0.247312
rotation,466,46,-0.103753
rotation,467,47,0.156348
rotation,468,48,0.336306
rotation,469,47,0.428313
rotation,470,45,0.333501
rotation,471,47,0.394636
rotation,472,47,0.089780
rotation,473,47,0.039029
rotation,474,47,0.000051
rotation,475,47,0.234466
rotation,476,47,-0.046679
rotation,477,47,0.220090
rotation,478,46,0.278301
rotation,479,45,0.344048
rotation,480,47,0.102538
rotation,481,47,0.459546
rotation,482,47,0.126306
rotation,483,48,0.048606
rotation,484,47,0.111229
rotation,485,47,-0.023744
rotation,486,46,0.235207
rotation,487,47,-0.075813
rotation,488,48,0.214426
rotation,489,48,0.093532
rotation,490,47,0.487727
rotation,491,47,0.031967
rotation,492,48,0.054768
rotation,493,44,0.109948
rotation,494,47,0.633111
rotation,495,46,0.183974
rotation,496,46,0.119094
rotation,497,47,0.116516
rotation,498,47,0.381306
rotation,499,47,0.086496
rotation,500,45,0.085146
rotation,501,47,0.233735
rotation,502,47,0.295087
rotation,503,48,0.364075
rotation,504,47,0.295087
rotation,505,47,0.170497
rotation,506,46,0.143710
rotation,507,47,-0.133512
rotation,508,45,0.298702
rotation,509,47,0.327727
rotation,510,47,0.041676
rotation,511,47,0.293012
rotation,512,47,0.697862
rotation,513,47,0.525240
rotation,514,47,0.364007
rotation,515,46,0.192444
rotation,516,46,0.165595
rotation,517,47,0.328517
rotation,518,47,0.341349
rotation,519,48,0.161832
rotation,520,47,0.190576
rotation,521,48,0.266389
rotation,522,47,0.046682
rotation,523,46,-0.117474
rotation,524,46,0.225431
rotation,525,47,0.336756
rotation,526,48,0.224866
rotation,527,47,0.168794
rotation,528,48,-0.135358
rotation,529,47,-0.039597
rotation,530,47,0.054763
rotation,531,47,0.030848
rotation,532,47,0.120120
rotation,533,47,-0.048239
rotation,534,46,-0.103753
rotation,535,47,0.046985
rotation,536,47,0.058238
rotation,537,47,0.442226
rotation,538,47,0.129407
rotation,539,47,-0.040664
rotation,540,47,-0.260782
rotation,541,47,0.419526
rotation,542,46,0.116025
rotation,543,47,0.419022
rotation,544,47,0.161047
rotation,545,48,0.116862
rotation,546,46,0.212397
rotation,547,47,0.206307
rotation,548,47,0.167750
rotation,549,47,-0.100191
rotation,550,47,-0.023488
rotation,551,47,0.273535
rotation,552,47,0.485702
rotation,553,46,0.165595
rotation,554,46,0.052695
rotation,555,47,-0.046756
rotation,556,47,-0.035198
rotation,557,48,0.214426
rotation,558,46,0.718804
rotation,559,47,0.191100
rotation,560,47,0.261070
rotation,561,47,-0.147344
rotation,562,47,0.033875
rotation,563,47,0.120097
rotation,564,47,0.209504
rotation,565,47,0.120097
rotation,566,45,0.344048
rotation,567,48,0.159007
rotation,568,47,0.349221
rotation,569,44,0.066910
rotation,570,47,0.465574
rotation,571,47,0.083959
rotation,572,47,0.039914
rotation,573,47,0.202130
rotation,574,46,-0.099181
rotation,575,47,0.262800
rotation,576,48,0.255215
rotation,577,47,0.261070
rotation,578,48,-0.043725
rotation,579,45,0.092226
rotation,580,47,-0.260782
rotation,581,47,0.050355
rotation,582,47,0.121162
rotation,583,47,0.110818
rotation,584,48,0.389658
rotation,585,48,0.278560
rotation,586,48,0.143062
rotation,587,47,0.120097
rotation,588,48,0.253011
rotation,589,46,0.243213
rotation,590,47,0.394636
rotation,591,46,0.379543
rotation,592,47,0.053882
rotation,593,47,0.385859
rotation,594,46,0.036701
rotation,595,47,-0.184482
rotation,596,46,0.045233
rotation,597,47,0.269151
rotation,598,47,0.424297
rotation,599,47,-0.056121
rotation,600,46,0.061033
rotation,601,47,0.228102
rotation,602,47,0.306100
rotation,603,45,0.116176
rotation,604,48,-0.187415
rotation,605,44,0.066910
rotation,606,47,0.381306
rotation,607,45,0.327418
rotation,608,47,0.084200
rotation,609,46,0.034865
rotation,610,47,0.674914
rotation,611,46,0.033924
rotation,612,47,0.273211
rotation,613,48,-0.131606
rotation,614,47,-0.008086
rotation,615,47,0.089960
rotation,616,47,0.009758
rotation,617,47,0.269151
rotation,618,47,0.235524
rotation,619,47,0.155111
rotation,620,46,0.104661
rotation,621,47,0.627533
rotation,622,48,0.073255
rotation,623,46,0.312902
rotation,624,47,0.217135
rotation,625,44,0.116116
rotation,626,47,0.626894
rotation,627,48,0.008342
rotation,628,47,0.148641
rotation,629,46,-0.007523
rotation,630,47,0.309153
rotation,631,47,0.150139
rotation,632,47,0.330608
rotation,633,47,0.221462
rotation,634,47,0.213824
rotation,635,47,-0.319009
rotation,636,47,0.007316
rotation,637,47,0.001181
rotation,638,47,-0.119005
rotation,639,47,0.244072
rotation,640,47,0.187182
rotation,641,47,-0.025921
rotation,642,47,0.042724
rotation,643,47,0.120120
rotation,644,47,0.221377
rotation,645,47,0.087982
rotation,646,47,0.148128
rotation,647,47,0.115177
rotation,648,46,0.295852
rotation,649,47,-0.030532
rotation,650,47,0.460268
rotation,651,47,0.162082
rotation,652,47,0.131909
rotation,653,47,0.074078
rotation,654,46,0.191476
rotation,655,46,-0.030520
rotation,656,47,0.252467
rotation,657,47,-0.122069
rotation,658,47,0.008295
rotation,659,47,0.011360
rotation,660,47,0.449602
rotation,661,47,0.286751
rotation,662,47,0.337234
rotation,663,47,-0.033060
rotation,664,48,0.414123
rotation,665,47,0.375012
rotation,666,48,-0.119176
rotation,667,47,0.119345
rotation,668,47,-0.003854
rotation,669,47,0.501385
rotation,670,48,-0.181972
rotation,671,47,0.073707
rotation,672,48,0.090243
rotation,673,47,-0.008086
rotation,674,47,0.097341
rotation,675,47,-0.020892
rotation,676,47,0.260391
rotation,677,48,0.292718
rotation,678,47,-0.003080
rotation,679,47,0.103672
rotation,680,46,-0.052335
rotation,681,47,0.143674
rotation,682,47,0.105846
rotation,683,47,0.308262
rotation,684,48,0.185475
rotation,685,47,-0.211010
rotation,686,47,0.013410
rotation,687,47,0.112003
rotation,688,47,0.201179
rotation,689,47,-0.070349
rotation,690,47,0.323395
rotation,691,47,0.239706
rotation,692,47,-0.179459
rotation,693,47,0.202246
rotation,694,47,0.296626
rotation,695,47,0.101688
rotation,696,47,0.274791
rotation,697,47,0.014189
rotation,698,47,0.023612
rotation,699,47,0.384288
rotation,700,48,0.085743
rotation,701,47,0.222436
rotation,702,47,-0.209202
rotation,703,47,0.555538
rotation,704,47,-0.324662
rotation,705,46,0.225324
rotation,706,47,-0.048011
rotation,707,48,0.541191
rotation,708,46,0.194670
rotation,709,47,-0.042754
rotation,710,47,0.276016
rotation,711,47,0.017035
rotation,712,47,0.229115
rotation,713,47,0.460268
rotation,714,46,0.312902
rotation,715,47,-0.004009
rotation,716,48,0.171945
rotation,717,47,0.126460
rotation,718,47,-0.148412
rotation,719,47,0.252586
rotation,720,45,-0.052698
rotation,721,47,0.443836
rotation,722,48,-0.031003
rotation,723,47,0.523680
rotation,724,46,0.718804
rotation,725,46,0.414828
rotation,726,46,0.303762
rotation,727,47,0.202246
rotation,728,48,0.025994
rotation,729,47,0.078131
rotation,730,47,0.271938
rotation,731,47,0.029306
rotation,732,45,0.471806
rotation,733,47,-0.006112
rotation,734,47,0.221462
rotation,735,48,-0.195000
rotation,736,47,-0.172902
rotation,737,46,-0.057180
rotation,738,47,0.252047
rotation,739,47,0.233379
rotation,740,48,0.415685
rotation,741,47,0.293012
rotation,742,48,-0.181972
rotation,743,47,0.028788
rotation,744,44,0.092608
rotation,745,47,0.499778
rotation,746,46,0.156902
rotation,747,45,0.248134
rotation,748,45,0.295226
rotation,749,47,0.097771
rotation,750,47,0.473140
rotation,751,45,0.420009
rotation,752,46,0.155013
rotation,753,46,0.045113
rotation,754,47,0.229528
rotation,755,47,0.248866
rotation,756,48,-0.065246
rotation,757,47,0.112003
rotation,758,47,-0.182582
rotation,759,47,0.180143
rotation,760,47,0.105845
rotation,761,47,0.024517
rotation,762,47,0.026788
rotation,763,45,0.236343
rotation,764,47,0.365963
rotation,765,46,0.130396
rotation,766,47,0.041676
rotation,767,47,0.073076
rotation,768,47,0.275282
rotation,769,47,0.043459
rotation,770,47,0.328517
rotation,771,47,-0.164367
rotation,772,47,0.066270
rotation,773,47,0.027419
rotation,774,47,-0.371589
rotation,775,48,0.219474
rotation,776,47,0.169203
rotation,777,46,0.171789
rotation,778,48,-0.015923
rotation,779,47,0.197943
rotation,780,47,0.084200
rotation,781,46,0.512900
rotation,782,47,0.030798
rotation,783,47,-0.113736
rotation,784,45,0.301366
rotation,785,47,0.387642
rotation,786,48,-0.063005
rotation,787,47,0.007101
rotation,788,46,0.191973
rotation,789,45,-0.077278
rotation,790,47,0.533377
rotation,791,47,0.011057
rotation,792,47,0.558062
rotation,793,47,-0.070349
rotation,794,47,0.468134
rotation,795,47,0.490622
rotation,796,47,0.385859
rotation,797,47,0.135931
rotation,798,46,-0.097525
rotation,799,47,0.281964
rotation,800,47,0.204994
rotation,801,45,0.248134
rotation,802,47,0.256404
rotation,803,48,0.159389
rotation,804,47,0.157296
rotation,805,47,0.323011
rotation,806,46,0.195663
rotation,807,46,-0.081066
rotation,808,46,0.296793
rotation,809,47,0.151686
rotation,810,47,0.266280
rotation,811,46,-0.170091
rotation,812,47,-0.082788
rotation,813,48,0.120451
rotation,814,47,-0.028673
rotation,815,47,0.138325
rotation,816,47,0.051115
rotation,817,48,0.161006
rotation,818,48,0.054768
rotation,819,48,0.111468
rotation,820,47,0.039914
rotation,821,47,0.185323
rotation,822,47,0.213822
rotation,823,47,-0.177844
rotation,824,46,0.292635
rotation,825,47,-0.075813
rotation,826,48,0.415685
rotation,827,47,0.376216
rotation,828,47,-0.037076
rotation,829,47,-0.105064
rotation,830,47,0.153532
rotation,831,47,0.078010
rotation,832,47,0.083363
rotation,833,48,0.190270
rotation,834,47,0.367632
rotation,835,46,0.157544
rotation,836,47,-0.054567
rotation,837,47,0.217135
rotation,838,47,0.189451
rotation,839,47,0.081475
rotation,840,47,0.037355
rotation,841,47,0.115158
rotation,842,47,0.077550
rotation,843,48,0.333036
rotation,844,48,0.380529
rotation,845,47,0.252467
rotation,846,47,0.128212
rotation,847,47,0.121049
rotation,848,47,0.214430
rotation,849,47,0.187349
rotation,850,47,0.525240
rotation,851,47,0.161047
rotation,852,46,0.151646
rotation,853,47,0.139667
rotation,854,47,0.242604
rotation,855,47,-0.292817
rotation,856,46,-0.099181
rotation,857,47,0.089426
rotation,858,46,0.001116
rotation,859,45,0.116176
rotation,860,47,-0.074790
rotation,861,48,0.076606
rotation,862,47,0.558062
rotation,863,48,-0.119358
rotation,864,46,-0.103554
rotation,865,48,0.197338
rotation,866,46,-0.029687
rotation,867,46,-0.039040
rotation,868,47,-0.125749
rotation,869,48,-0.065246
rotation,870,47,-0.092919
rotation,871,47,0.059319
rotation,872,47,0.558062
rotation,873,47,0.064418
rotation,874,47,0.227379
rotation,875,47,0.365106
rotation,876,48,-0.119358
rotation,877,47,0.094749
rotation,878,46,0.016168
rotation,879,47,0.372883
rotation,880,48,0.089502
rotation,881,46,-0.289947
rotation,882,47,0.119345
rotation,883,47,0.091323
rotation,884,47,0.231899
rotation,885,47,0.183863
rotation,886,48,0.073255
rotation,887,47,0.008153
rotation,888,47,0.109308
rotation,889,47,0.040167
rotation,890,47,0.242239
rotation,891,47,0.188011
rotation,892,47,-0.020448
rotation,893,47,0.100156
rotation,894,47,-0.126716
rotation,895,47,0.120120
rotation,896,48,0.414123
rotation,897,47,0.186897
rotation,898,47,0.129577
rotation,899,47,0.371359
rotation,900,47,0.074306
rotation,901,47,0.332100
rotation,902,47,-0.023424
rotation,903,47,0.262800
rotation,904,47,0.160129
rotation,905,47,0.257681
rotation,906,47,0.081475
rotation,907,47,0.089977
rotation,908,47,0.429980
rotation,909,47,0.127193
rotation,910,48,0.280077
rotation,911,47,0.108567
rotation,912,47,0.360452
rotation,913,47,-0.098670
rotation,914,47,0.294967
rotation,915,47,-0.066215
rotation,916,48,0.015862
rotation,917,47,0.168433
rotation,918,47,0.248042
rotation,919,47,-0.012968
rotation,920,47,0.385667
rotation,921,46,0.246963
rotation,922,45,0.167202
rotation,923,47,0.086684
rotation,924,47,0.131960
rotation,925,47,0.226801
rotation,926,47,0.308906
rotation,927,47,0.402526
rotation,928,47,0.109740
rotation,929,46,0.036211
rotation,930,47,0.133146
rotation,931,47,0.169445
rotation,932,47,0.189179
rotation,933,46,0.175127
rotation,934,47,0.300280
rotation,935,47,0.346984
rotation,936,47,0.315253
rotation,937,47,0.101115
rotation,938,47,0.115896
rotation,939,48,0.054768
rotation,940,47,-0.024960
rotation,941,47,-0.227036
rotation,942,47,0.109740
rotation,943,47,0.214301
rotation,944,47,0.091609
rotation,945,47,-0.084718
rotation,946,47,0.040723
rotation,947,47,0.178817
rotation,948,47,-0.182996
rotation,949,47,0.304720
rotation,950,47,-0.062264
rotation,951,46,0.191476
rotation,952,47,-0.020524
rotation,953,47,0.283500
rotation,954,46,-0.103753
rotation,955,47,0.201179
rotation,956,47,-0.185427
rotation,957,47,0.224683
rotation,958,47,-0.301655
rotation,959,48,0.236357
rotation,960,45,0.263868
rotation,961,47,0.361384
rotation,962,47,-0.056121
rotation,963,47,0.213824
rotation,964,47,0.038089
rotation,965,47,0.503886
rotation,966,47,0.516678
rotation,967,47,-0.025583
rotation,968,48,0.150578
rotation,969,48,-0.063005
rotation,970,47,0.288450
rotation,971,48,-0.019616
rotation,972,47,-0.024960
rotation,973,47,0.000972
rotation,974,47,0.249100
rotation,975,47,-0.062595
rotation,976,46,0.016313
rotation,977,47,-0.185427
rotation,978,48,0.086839
rotation,979,46,0.225431
rotation,980,48,0.350535
rotation,981,48,0.112909
