family,replicate,n_trades,mean_r
rotation,0,77,0.337652
rotation,1,77,0.297797
rotation,2,75,0.307384
rotation,3,77,-0.001321
rotation,4,77,0.138564
rotation,5,77,0.166031
rotation,6,75,0.461356
rotation,7,75,0.466579
rotation,8,76,0.266437
rotation,9,77,-0.001321
rotation,10,75,0.197697
rotation,11,76,0.186144
rotation,12,77,0.138821
rotation,13,77,-0.053325
rotation,14,77,0.131685
rotation,15,77,0.201743
rotation,16,76,0.166661
rotation,17,77,0.013058
rotation,18,76,0.190629
rotation,19,76,0.207506
rotation,20,77,0.394603
rotation,21,77,-0.014203
rotation,22,76,-0.238037
rotation,23,77,0.277541
rotation,24,77,-0.158535
rotation,25,77,0.156511
rotation,26,77,0.313422
rotation,27,77,0.324009
rotation,28,76,0.116963
rotation,29,76,-0.023699
rotation,30,77,0.148145
rotation,31,77,0.819635
rotation,32,77,0.188843
rotation,33,77,0.162773
rotation,34,74,0.195966
rotation,35,77,0.305722
rotation,36,77,0.040225
rotation,37,73,0.029448
rotation,38,77,-0.317640
rotation,39,77,-0.052050
rotation,40,77,0.365445
rotation,41,77,0.270348
rotation,42,77,0.279848
rotation,43,77,0.007897
rotation,44,76,0.324241
rotation,45,76,0.499009
rotation,46,77,0.388348
rotation,47,77,0.084252
rotation,48,77,0.192202
rotation,49,77,0.385694
rotation,50,73,0.036470
rotation,51,77,0.054650
rotation,52,77,0.010970
rotation,53,76,0.095304
rotation,54,75,0.230734
rotation,55,77,0.353553
rotation,56,77,0.393202
rotation,57,77,0.142388
rotation,58,74,0.023138
rotation,59,76,-0.016863
rotation,60,76,0.358743
rotation,61,74,0.179975
rotation,62,77,0.014820
rotation,63,77,-0.064776
rotation,64,77,-0.137036
rotation,65,77,-0.078498
rotation,66,77,-0.055030
rotation,67,75,-0.080486
rotation,68,77,0.031831
rotation,69,73,0.109444
rotation,70,77,0.074491
rotation,71,76,-0.022795
rotation,72,77,0.265029
rotation,73,77,0.086257
rotation,74,77,0.308824
rotation,75,77,0.153227
rotation,76,77,-0.049302
rotation,77,77,0.095122
rotation,78,77,0.450305
rotation,79,77,0.295268
rotation,80,77,-0.042909
rotation,81,75,0.394897
rotation,82,77,0.282281
rotation,83,73,0.102788
rotation,84,77,0.337367
rotation,85,74,0.378644
rotation,86,77,0.310996
rotation,87,77,0.188192
rotation,88,77,0.448252
rotation,89,77,0.284195
rotation,90,77,0.171356
rotation,91,77,-0.258704
rotation,92,74,0.566118
rotation,93,77,-0.081391
rotation,94,77,-0.197734
rotation,95,77,0.097257
rotation,96,76,0.341387
rotation,97,77,0.309397
rotation,98,76,-0.305705
rotation,99,75,-0.111322
rotation,100,76,0.002972
rotation,101,77,0.225676
rotation,102,77,0.553935
rotation,103,77,0.078047
rotation,104,74,-0.121760
rotation,105,77,0.084252
rotation,106,76,0.495245
rotation,107,77,0.187626
rotation,108,76,0.006741
rotation,109,75,0.033141
rotation,110,75,-0.094011
rotation,111,76,0.012673
rotation,112,77,0.239799
rotation,113,77,0.308642
rotation,114,75,0.368329
rotation,115,77,0.459557
rotation,116,77,0.195324
rotation,117,77,-0.158355
rotation,118,77,0.126393
rotation,119,74,0.264964
rotation,120,77,-0.203571
rotation,121,77,-0.220973
rotation,122,77,0.252079
rotation,123,73,0.036470
rotation,124,77,-0.171044
rotation,125,77,-0.024237
rotation,126,77,0.107590
rotation,127,76,-0.024494
rotation,128,77,0.109551
rotation,129,75,0.363970
rotation,130,74,0.278384
rotation,131,76,0.154669
rotation,132,77,-0.052050
rotation,133,76,0.226602
rotation,134,76,0.010092
rotation,135,76,0.123520
rotation,136,73,0.135641
rotation,137,77,-0.197994
rotation,138,76,0.146717
