family,replicate,n_trades,mean_r
rotation,0,124,-0.117201
rotation,1,124,-0.107755
rotation,2,124,0.003786
rotation,3,124,-0.031740
rotation,4,124,-0.024481
rotation,5,124,-0.053557
rotation,6,124,0.010341
rotation,7,124,-0.015727
rotation,8,124,-0.023093
rotation,9,124,-0.011590
rotation,10,124,-0.086327
rotation,11,124,0.097717
rotation,12,124,0.036036
rotation,13,124,0.086796
rotation,14,124,0.057379
rotation,15,124,0.056836
rotation,16,124,-0.124792
rotation,17,124,-0.105211
rotation,18,124,0.002966
rotation,19,124,-0.044390
rotation,20,124,0.000838
rotation,21,124,0.041323
rotation,22,124,0.055994
rotation,23,124,0.020318
rotation,24,124,0.129488
rotation,25,124,-0.101578
rotation,26,124,0.076369
rotation,27,124,-0.001354
rotation,28,124,-0.120853
rotation,29,124,-0.084187
rotation,30,124,-0.114816
rotation,31,124,-0.003745
rotation,32,124,-0.083455
rotation,33,124,-0.050718
rotation,34,124,0.073426
rotation,35,124,-0.127875
rotation,36,124,-0.009071
rotation,37,124,0.025275
rotation,38,124,-0.203810
rotation,39,124,-0.124985
rotation,40,124,-0.079029
rotation,41,124,-0.028943
rotation,42,124,-0.101257
rotation,43,124,-0.123133
rotation,44,124,-0.052983
rotation,45,124,0.060351
rotation,46,124,-0.185807
rotation,47,125,-0.008292
rotation,48,124,0.078528
rotation,49,124,-0.034573
rotation,50,124,0.002461
rotation,51,124,-0.000114
rotation,52,124,0.114429
rotation,53,124,-0.033037
rotation,54,124,-0.065682
rotation,55,124,-0.083635
rotation,56,124,-0.209690
rotation,57,124,0.066454
rotation,58,124,-0.058617
rotation,59,124,-0.003556
rotation,60,124,-0.088296
rotation,61,124,0.013359
rotation,62,124,-0.090541
rotation,63,124,0.026716
rotation,64,124,0.072928
rotation,65,124,0.028290
rotation,66,124,-0.201690
rotation,67,124,0.020842
rotation,68,124,-0.137489
rotation,69,124,-0.085548
rotation,70,124,0.053233
rotation,71,124,0.095084
rotation,72,124,-0.146736
rotation,73,124,-0.006507
rotation,74,124,0.007144
rotation,75,124,0.102034
rotation,76,124,0.059766
rotation,77,124,0.085698
rotation,78,124,-0.024174
rotation,79,124,-0.001326
rotation,80,124,0.095733
rotation,81,124,-0.052079
rotation,82,124,0.020354
rotation,83,124,0.002219
rotation,84,124,0.014583
rotation,85,124,-0.089071
rotation,86,124,-0.074607
rotation,87,124,-0.006413
rotation,88,124,-0.004333
rotation,89,124,0.123741
rotation,90,124,-0.082329
rotation,91,124,-0.006657
rotation,92,124,0.019008
rotation,93,124,0.133943
rotation,94,124,0.068872
rotation,95,124,0.001838
rotation,96,124,0.003250
rotation,97,124,-0.002713
rotation,98,124,0.012481
rotation,99,124,0.014742
rotation,100,124,0.011636
rotation,101,124,-0.103480
rotation,102,124,-0.024206
rotation,103,124,-0.069316
rotation,104,124,-0.170512
rotation,105,124,-0.072153
rotation,106,124,0.009373
rotation,107,124,0.085098
rotation,108,124,0.035911
rotation,109,124,0.028016
rotation,110,124,0.048094
rotation,111,124,0.127630
rotation,112,124,0.027503
rotation,113,124,-0.189509
rotation,114,124,0.059861
rotation,115,124,-0.029147
rotation,116,124,0.050386
rotation,117,124,0.186796
rotation,118,124,-0.077704
rotation,119,124,-0.061828
rotation,120,124,-0.190527
rotation,121,124,-0.069493
rotation,122,124,0.130373
rotation,123,124,-0.073467
rotation,124,124,0.022207
rotation,125,125,-0.030639
rotation,126,124,0.069394
rotation,127,124,0.065566
rotation,128,124,0.042551
rotation,129,124,0.051738
rotation,130,124,0.016196
rotation,131,124,0.030976
rotation,132,124,-0.189604
rotation,133,124,-0.097140
rotation,134,124,0.028725
rotation,135,124,0.029417
rotation,136,124,0.040961
rotation,137,124,-0.074816
rotation,138,124,-0.200717
rotation,139,124,-0.074031
rotation,140,124,0.174144
rotation,141,124,0.058935
rotation,142,124,-0.124087
rotation,143,124,0.110489
rotation,144,124,-0.141454
rotation,145,124,0.047225
rotation,146,124,-0.100114
rotation,147,124,0.072674
rotation,148,124,0.077753
rotation,149,124,0.077529
rotation,150,124,-0.198755
rotation,151,124,-0.089293
rotation,152,124,-0.133829
rotation,153,124,-0.036752
rotation,154,124,0.044780
rotation,155,124,-0.072347
rotation,156,124,-0.008475
rotation,157,125,-0.043608
rotation,158,124,-0.119022
rotation,159,124,-0.173199
rotation,160,124,-0.142349
rotation,161,124,0.000346
rotation,162,124,-0.108340
rotation,163,124,-0.184054
rotation,164,124,-0.024705
rotation,165,124,-0.030498
rotation,166,124,-0.131955
rotation,167,124,-0.039042
rotation,168,124,-0.076791
rotation,169,124,-0.042475
rotation,170,124,-0.064888
rotation,171,124,-0.059719
rotation,172,124,-0.038596
rotation,173,124,-0.025765
rotation,174,124,-0.039913
rotation,175,124,0.080139
rotation,176,124,-0.130580
rotation,177,124,-0.106923
rotation,178,124,-0.141935
rotation,179,124,-0.058664
rotation,180,124,-0.031731
rotation,181,124,-0.016034
rotation,182,124,0.022448
rotation,183,124,0.041692
rotation,184,124,-0.107900
rotation,185,124,0.004997
rotation,186,124,0.082009
rotation,187,124,-0.091087
