family,replicate,n_trades,mean_r
rotation,0,124,-0.046767
rotation,1,124,-0.072839
rotation,2,124,0.150616
rotation,3,124,-0.045124
rotation,4,124,-0.012781
rotation,5,124,0.018386
rotation,6,124,-0.006113
rotation,7,124,-0.019357
rotation,8,124,0.003548
rotation,9,124,-0.030533
rotation,10,124,-0.106491
rotation,11,124,0.177370
rotation,12,124,0.051862
rotation,13,124,0.010693
rotation,14,124,0.119866
rotation,15,124,0.174076
rotation,16,124,-0.089979
rotation,17,124,-0.016505
rotation,18,124,0.014774
rotation,19,124,0.056675
rotation,20,124,-0.045240
rotation,21,124,-0.074950
rotation,22,124,-0.029660
rotation,23,124,-0.030778
rotation,24,124,0.041559
rotation,25,124,-0.080617
rotation,26,124,0.095190
rotation,27,124,0.115173
rotation,28,124,0.059958
rotation,29,124,0.117859
rotation,30,124,-0.087764
rotation,31,124,0.003550
rotation,32,124,-0.119782
rotation,33,124,-0.077042
rotation,34,124,-0.019520
rotation,35,124,-0.087266
rotation,36,124,0.007040
rotation,37,124,0.005364
rotation,38,124,-0.114576
rotation,39,124,-0.151190
rotation,40,124,0.037390
rotation,41,124,-0.019022
rotation,42,124,-0.016164
rotation,43,124,-0.032743
rotation,44,124,-0.035152
rotation,45,124,0.118098
rotation,46,124,-0.055102
rotation,47,125,0.042571
rotation,48,124,0.065698
rotation,49,124,-0.025037
rotation,50,124,-0.124269
rotation,51,124,-0.022677
rotation,52,124,0.085779
rotation,53,124,-0.049619
rotation,54,124,-0.037059
rotation,55,124,-0.101736
rotation,56,124,-0.190585
rotation,57,124,0.106769
rotation,58,124,-0.049861
rotation,59,124,-0.043285
rotation,60,124,0.026094
rotation,61,124,-0.063960
rotation,62,124,-0.133005
rotation,63,124,0.076960
rotation,64,124,-0.045253
rotation,65,124,0.046163
rotation,66,124,-0.119485
rotation,67,124,0.038785
rotation,68,124,-0.100593
rotation,69,124,0.027674
rotation,70,124,0.053080
rotation,71,124,0.009410
rotation,72,124,0.046308
rotation,73,124,0.046609
rotation,74,124,0.034242
rotation,75,124,0.162237
rotation,76,124,-0.019527
rotation,77,124,0.025580
rotation,78,124,0.089497
rotation,79,124,-0.044564
rotation,80,124,0.023254
rotation,81,124,-0.016518
rotation,82,124,0.085649
rotation,83,124,-0.010067
rotation,84,124,0.024205
rotation,85,124,-0.036388
rotation,86,124,-0.114558
rotation,87,124,0.003725
