family,replicate,n_trades,mean_r
rotation,0,41,0.065531
rotation,1,41,0.136892
rotation,2,41,0.004444
rotation,3,41,-0.132612
rotation,4,41,0.062329
rotation,5,41,-0.073669
rotation,6,41,-0.349414
rotation,7,41,-0.227483
rotation,8,41,-0.023124
rotation,9,41,0.024563
rotation,10,41,-0.173607
rotation,11,41,-0.250898
rotation,12,41,-0.070391
rotation,13,41,-0.152813
rotation,14,41,0.126373
rotation,15,41,-0.103054
rotation,16,41,0.119009
rotation,17,41,-0.051333
rotation,18,41,0.003071
rotation,19,41,-0.130357
rotation,20,41,-0.154908
rotation,21,41,-0.009690
rotation,22,41,-0.057081
rotation,23,41,-0.006363
rotation,24,41,-0.196780
rotation,25,41,-0.181522
rotation,26,41,0.232478
rotation,27,41,0.045702
rotation,28,41,0.034389
rotation,29,41,-0.219511
rotation,30,41,-0.042298
rotation,31,41,-0.126476
rotation,32,41,-0.253758
rotation,33,41,-0.124077
rotation,34,41,0.006606
rotation,35,41,0.054526
rotation,36,41,-0.086363
rotation,37,41,-0.073844
rotation,38,41,-0.050550
rotation,39,41,0.029470
rotation,40,41,0.134715
rotation,41,41,0.039657
rotation,42,41,0.047502
rotation,43,41,-0.143769
rotation,44,41,-0.175536
rotation,45,41,-0.137852
rotation,46,41,-0.068284
rotation,47,41,-0.201727
rotation,48,41,-0.111390
rotation,49,41,-0.105119
rotation,50,41,-0.141188
rotation,51,41,0.216319
rotation,52,41,-0.031351
rotation,53,41,-0.098232
rotation,54,41,-0.201581
rotation,55,41,0.010282
rotation,56,41,-0.133954
rotation,57,41,-0.154042
rotation,58,41,0.007898
rotation,59,41,0.062470
rotation,60,41,-0.022659
rotation,61,41,-0.116423
rotation,62,41,-0.063126
rotation,63,41,0.065980
rotation,64,41,-0.237116
rotation,65,41,0.029596
rotation,66,41,-0.004364
rotation,67,41,-0.046071
rotation,68,41,-0.042977
rotation,69,41,0.111920
rotation,70,41,-0.051236
rotation,71,41,-0.154532
rotation,72,41,0.148438
rotation,73,41,-0.019521
rotation,74,41,-0.056777
rotation,75,41,0.075810
rotation,76,41,-0.228145
rotation,77,41,-0.092252
rotation,78,41,-0.011593
rotation,79,41,-0.129625
rotation,80,41,0.026790
rotation,81,41,-0.073674
rotation,82,41,0.012372
rotation,83,41,-0.039949
rotation,84,41,-0.347504
rotation,85,41,0.229980
rotation,86,41,-0.168498
rotation,87,41,-0.015517
rotation,88,41,-0.082390
rotation,89,41,-0.014589
rotation,90,41,-0.006471
rotation,91,41,-0.078844
rotation,92,41,-0.021014
rotation,93,41,-0.084511
rotation,94,41,-0.014368
rotation,95,41,-0.007878
rotation,96,41,0.013686
rotation,97,41,-0.031835
rotation,98,41,-0.208631
rotation,99,41,-0.089914
rotation,100,41,-0.156382
rotation,101,41,0.097916
rotation,102,41,-0.218441
rotation,103,41,0.123745
rotation,104,41,0.037128
rotation,105,41,0.014625
rotation,106,41,0.085455
rotation,107,41,0.110306
rotation,108,41,0.034614
rotation,109,41,-0.165822
rotation,110,41,-0.038373
rotation,111,41,-0.103353
rotation,112,41,-0.039916
rotation,113,41,0.105594
rotation,114,41,-0.272184
rotation,115,41,-0.196349
rotation,116,41,0.048187
rotation,117,41,0.039937
rotation,118,41,0.236505
rotation,119,41,-0.175573
rotation,120,41,-0.153163
rotation,121,41,0.093968
rotation,122,41,-0.079268
rotation,123,41,-0.150071
rotation,124,41,-0.162888
rotation,125,41,-0.071734
rotation,126,41,-0.024208
rotation,127,41,0.138411
rotation,128,41,0.070927
rotation,129,41,0.018871
rotation,130,41,-0.014766
rotation,131,41,-0.011667
rotation,132,41,-0.182444
rotation,133,41,0.056706
rotation,134,41,-0.315397
rotation,135,41,0.057374
rotation,136,41,0.038495
rotation,137,41,-0.209094
rotation,138,41,-0.008586
rotation,139,41,0.074057
rotation,140,41,-0.007924
rotation,141,41,-0.029223
rotation,142,41,-0.361096
rotation,143,41,-0.205284
rotation,144,41,-0.201533
rotation,145,41,-0.103438
rotation,146,41,-0.109984
rotation,147,41,-0.145303
rotation,148,41,0.033008
rotation,149,41,0.020440
rotation,150,41,-0.010491
rotation,151,41,-0.130813
rotation,152,41,-0.247943
rotation,153,41,-0.027940
rotation,154,41,-0.097005
rotation,155,41,0.030133
rotation,156,41,-0.121747
rotation,157,41,0.066700
rotation,158,41,-0.148670
rotation,159,41,-0.039913
rotation,160,41,0.061181
rotation,161,41,-0.129762
rotation,162,41,0.075537
rotation,163,41,0.078947
rotation,164,41,-0.043104
rotation,165,42,-0.125531
rotation,166,41,-0.077697
rotation,167,41,0.159148
rotation,168,41,-0.005440
rotation,169,41,-0.068580
rotation,170,41,-0.046552
rotation,171,41,-0.030993
rotation,172,41,-0.162751
rotation,173,41,-0.251748
rotation,174,41,0.119385
rotation,175,41,-0.134309
rotation,176,41,-0.129952
rotation,177,41,-0.104208
rotation,178,41,-0.066309
rotation,179,41,0.033638
rotation,180,41,-0.033714
rotation,181,41,-0.096023
rotation,182,41,-0.001668
rotation,183,41,0.143963
rotation,184,41,0.004237
rotation,185,41,-0.150280
rotation,186,41,-0.064207
rotation,187,41,0.015027
rotation,188,41,-0.229793
rotation,189,41,-0.048732
rotation,190,41,0.151407
rotation,191,41,-0.083619
rotation,192,41,-0.022022
rotation,193,42,-0.034658
rotation,194,41,-0.052672
rotation,195,41,-0.110834
rotation,196,41,-0.266147
rotation,197,41,-0.031657
rotation,198,41,-0.135241
rotation,199,41,-0.125427
rotation,200,41,-0.013045
rotation,201,41,-0.045776
rotation,202,41,-0.136167
rotation,203,41,0.132968
rotation,204,41,-0.172350
rotation,205,41,-0.322687
rotation,206,41,0.040404
rotation,207,41,-0.202516
rotation,208,41,-0.030481
rotation,209,41,0.147647
rotation,210,41,-0.055048
rotation,211,41,-0.015366
rotation,212,41,0.014217
rotation,213,41,0.167263
rotation,214,41,0.007000
rotation,215,41,-0.110755
rotation,216,41,-0.128529
rotation,217,41,-0.308055
rotation,218,41,-0.101121
rotation,219,41,-0.211062
rotation,220,41,-0.208181
rotation,221,41,-0.088300
rotation,222,41,-0.167106
rotation,223,41,-0.070866
rotation,224,41,-0.034966
rotation,225,41,-0.096148
rotation,226,41,-0.038351
rotation,227,41,0.045976
rotation,228,41,-0.101270
rotation,229,41,0.040647
rotation,230,41,-0.041336
rotation,231,41,-0.168821
rotation,232,41,-0.014451
rotation,233,41,0.077967
rotation,234,41,-0.005205
rotation,235,41,-0.189197
rotation,236,41,0.209127
rotation,237,41,-0.214203
rotation,238,41,-0.125662
rotation,239,41,-0.092973
rotation,240,41,-0.182990
rotation,241,41,-0.103138
rotation,242,41,-0.107275
rotation,243,41,-0.108593
rotation,244,41,-0.130510
rotation,245,41,0.082843
rotation,246,41,0.007524
rotation,247,41,-0.273700
rotation,248,41,0.045877
rotation,249,41,-0.025311
rotation,250,41,0.144728
rotation,251,41,-0.030119
rotation,252,41,-0.051156
rotation,253,41,-0.091956
rotation,254,41,-0.222594
rotation,255,41,-0.022057
rotation,256,41,0.022833
rotation,257,41,-0.051648
rotation,258,41,-0.058145
rotation,259,41,-0.036459
rotation,260,41,-0.132532
rotation,261,41,-0.136749
rotation,262,41,0.055194
rotation,263,41,0.125067
rotation,264,41,0.002926
rotation,265,41,0.084175
rotation,266,41,0.123011
rotation,267,41,-0.090020
rotation,268,41,-0.108959
rotation,269,41,-0.148867
rotation,270,41,-0.029569
rotation,271,41,-0.049674
rotation,272,41,-0.144383
rotation,273,41,-0.179406
rotation,274,41,-0.038169
rotation,275,41,-0.104725
rotation,276,41,0.001679
rotation,277,41,0.110499
rotation,278,41,-0.073522
rotation,279,41,-0.229366
rotation,280,41,0.041938
rotation,281,41,-0.006662
rotation,282,41,-0.194654
rotation,283,41,-0.164997
rotation,284,41,-0.122546
rotation,285,41,-0.116998
rotation,286,41,0.008759
rotation,287,41,0.125397
rotation,288,41,-0.057335
rotation,289,41,-0.085143
rotation,290,41,-0.125471
rotation,291,41,-0.153104
rotation,292,41,-0.309077
rotation,293,41,-0.065303
rotation,294,41,0.100185
rotation,295,41,0.032895
rotation,296,41,-0.115392
rotation,297,41,-0.069110
rotation,298,41,-0.023862
rotation,299,41,-0.043527
rotation,300,41,-0.096959
rotation,301,41,-0.176215
rotation,302,41,-0.071041
rotation,303,41,-0.072781
rotation,304,41,0.112989
rotation,305,41,-0.273539
rotation,306,41,-0.184359
rotation,307,41,0.043093
rotation,308,41,-0.154737
rotation,309,41,-0.114922
rotation,310,41,-0.186029
rotation,311,41,-0.063626
rotation,312,41,-0.301799
rotation,313,41,-0.128145
rotation,314,41,0.046467
rotation,315,41,-0.107011
rotation,316,41,-0.013431
rotation,317,41,-0.168341
rotation,318,41,-0.247544
rotation,319,41,-0.111584
rotation,320,41,-0.160572
rotation,321,41,0.003215
rotation,322,41,-0.083584
rotation,323,41,-0.144202
rotation,324,41,0.261623
rotation,325,41,-0.086320
rotation,326,41,0.280888
rotation,327,41,-0.215775
rotation,328,41,0.222996
rotation,329,41,-0.048757
rotation,330,41,-0.045726
rotation,331,41,0.009744
rotation,332,41,-0.133961
rotation,333,41,0.005759
rotation,334,41,-0.169633
rotation,335,41,-0.154302
rotation,336,41,-0.141055
rotation,337,41,-0.136834
rotation,338,41,-0.200112
rotation,339,41,-0.085900
rotation,340,41,-0.143740
rotation,341,41,0.005162
rotation,342,41,-0.073189
rotation,343,41,0.058762
rotation,344,41,0.133830
rotation,345,41,-0.136580
rotation,346,41,-0.064464
rotation,347,41,-0.000295
rotation,348,41,-0.144835
rotation,349,41,0.051286
rotation,350,41,-0.130302
rotation,351,41,-0.148289
rotation,352,41,-0.015133
rotation,353,41,-0.020698
rotation,354,41,0.159535
rotation,355,41,-0.289637
rotation,356,41,-0.025742
rotation,357,41,-0.350929
rotation,358,41,0.008128
rotation,359,41,-0.207756
rotation,360,41,0.018517
rotation,361,41,-0.268538
rotation,362,41,0.017908
rotation,363,41,-0.176559
rotation,364,41,-0.186375
rotation,365,41,-0.248866
rotation,366,41,-0.188003
rotation,367,41,-0.073873
rotation,368,41,0.123611
rotation,369,41,-0.182408
rotation,370,41,-0.133839
rotation,371,41,0.051651
rotation,372,41,-0.051911
rotation,373,41,0.027655
rotation,374,41,-0.077085
rotation,375,41,-0.040725
rotation,376,41,-0.158295
rotation,377,41,-0.184282
rotation,378,41,-0.048393
rotation,379,41,0.007644
rotation,380,41,-0.035845
rotation,381,41,0.044134
rotation,382,41,-0.042927
rotation,383,41,-0.056091
rotation,384,41,-0.164687
rotation,385,41,-0.066194
rotation,386,41,0.058062
rotation,387,41,-0.115630
rotation,388,41,-0.097261
rotation,389,41,-0.166074
rotation,390,41,-0.106662
rotation,391,41,-0.346690
rotation,392,41,0.074246
rotation,393,41,-0.066920
rotation,394,41,-0.124772
rotation,395,41,0.049252
rotation,396,41,-0.026258
rotation,397,41,0.195387
rotation,398,41,0.006234
rotation,399,41,-0.210483
rotation,400,41,-0.032581
rotation,401,41,-0.007028
rotation,402,41,-0.093294
rotation,403,41,-0.094355
rotation,404,41,-0.152413
rotation,405,41,-0.057919
rotation,406,41,-0.024630
rotation,407,41,-0.064835
rotation,408,41,0.071880
rotation,409,41,-0.149153
rotation,410,41,-0.177814
rotation,411,41,-0.049297
rotation,412,41,-0.057847
rotation,413,41,-0.102649
rotation,414,41,0.189196
rotation,415,41,-0.118801
rotation,416,41,-0.085721
rotation,417,41,-0.122526
rotation,418,41,-0.113128
rotation,419,41,-0.052357
rotation,420,41,-0.065192
rotation,421,41,-0.121997
rotation,422,41,-0.059168
rotation,423,41,0.061721
rotation,424,41,-0.086535
rotation,425,41,-0.014843
rotation,426,41,0.026531
rotation,427,41,-0.042066
rotation,428,41,0.168252
rotation,429,41,-0.096018
rotation,430,41,-0.156909
rotation,431,41,0.006332
rotation,432,41,0.070512
rotation,433,41,0.076755
rotation,434,41,-0.050585
rotation,435,41,0.063073
rotation,436,41,-0.013768
rotation,437,41,-0.050005
rotation,438,41,0.037267
rotation,439,41,-0.171495
rotation,440,41,0.104811
rotation,441,41,-0.049524
rotation,442,41,-0.246830
rotation,443,41,-0.026673
rotation,444,41,0.148993
rotation,445,41,-0.216927
rotation,446,41,-0.065104
rotation,447,41,-0.152827
rotation,448,41,0.028230
rotation,449,41,-0.138398
rotation,450,41,-0.190535
rotation,451,41,-0.135408
rotation,452,41,-0.128774
rotation,453,41,-0.086504
rotation,454,41,-0.138266
rotation,455,41,0.020152
rotation,456,41,-0.187139
rotation,457,41,-0.142374
rotation,458,41,0.142385
rotation,459,41,0.097517
rotation,460,41,-0.214666
rotation,461,41,0.031538
rotation,462,41,0.053588
rotation,463,41,0.065073
rotation,464,41,0.031658
rotation,465,41,0.120987
rotation,466,41,-0.143337
rotation,467,41,0.054212
rotation,468,41,-0.089595
rotation,469,41,0.021902
rotation,470,41,0.015348
rotation,471,41,-0.066319
rotation,472,41,-0.018002
rotation,473,41,-0.077025
rotation,474,41,-0.098547
rotation,475,41,0.090556
rotation,476,41,0.197888
rotation,477,41,-0.055412
rotation,478,41,0.016109
rotation,479,41,-0.148065
rotation,480,41,-0.154398
rotation,481,41,0.034619
rotation,482,41,-0.068121
rotation,483,41,0.029426
rotation,484,41,0.104390
rotation,485,41,0.027541
rotation,486,41,-0.005903
rotation,487,41,-0.087030
rotation,488,41,-0.100319
rotation,489,41,0.006521
rotation,490,41,0.032556
rotation,491,41,-0.083251
rotation,492,41,0.089936
rotation,493,41,-0.128284
rotation,494,41,0.174512
rotation,495,41,-0.120215
rotation,496,41,0.117945
rotation,497,41,-0.029465
rotation,498,41,0.074433
rotation,499,41,-0.106754
rotation,500,41,-0.049914
rotation,501,41,-0.077462
rotation,502,41,-0.191944
rotation,503,41,-0.183579
rotation,504,41,-0.024174
rotation,505,41,-0.056787
rotation,506,41,0.131793
rotation,507,41,-0.006292
rotation,508,41,-0.020409
rotation,509,41,0.053525
rotation,510,41,-0.053594
rotation,511,41,0.177303
rotation,512,41,-0.254633
rotation,513,41,0.130512
rotation,514,41,-0.214775
rotation,515,41,0.246139
rotation,516,41,-0.103492
rotation,517,41,-0.147912
rotation,518,41,-0.287171
rotation,519,41,-0.309631
rotation,520,41,-0.155586
rotation,521,41,-0.077074
rotation,522,41,-0.058997
rotation,523,41,0.063040
rotation,524,41,-0.154059
rotation,525,41,-0.158143
rotation,526,41,0.041706
rotation,527,41,-0.120676
rotation,528,41,-0.076547
rotation,529,41,-0.172865
rotation,530,41,0.063334
rotation,531,41,-0.036646
rotation,532,41,-0.122158
rotation,533,41,0.055003
rotation,534,41,-0.057500
rotation,535,41,-0.020460
rotation,536,41,-0.095469
rotation,537,41,0.084254
rotation,538,41,-0.061747
rotation,539,41,0.140804
rotation,540,41,0.014429
rotation,541,41,-0.042380
rotation,542,41,0.027076
rotation,543,41,0.002825
rotation,544,41,-0.217488
rotation,545,41,-0.004657
rotation,546,41,-0.032788
rotation,547,41,-0.170238
rotation,548,41,-0.061471
rotation,549,41,-0.142110
rotation,550,41,-0.061108
rotation,551,41,-0.180112
rotation,552,41,-0.266453
rotation,553,41,-0.119006
rotation,554,41,-0.197227
rotation,555,41,0.062410
rotation,556,41,-0.176150
rotation,557,41,-0.045580
rotation,558,41,0.079776
rotation,559,41,-0.062799
rotation,560,41,0.022912
rotation,561,41,-0.040083
rotation,562,41,-0.030570
rotation,563,41,-0.047936
rotation,564,41,-0.178260
rotation,565,41,-0.105525
rotation,566,41,0.112469
rotation,567,41,-0.013259
rotation,568,41,-0.130324
rotation,569,41,0.067655
rotation,570,41,-0.079010
rotation,571,41,-0.128686
rotation,572,41,-0.087368
rotation,573,41,-0.165540
rotation,574,41,0.024602
rotation,575,41,0.017940
rotation,576,41,-0.022189
rotation,577,41,0.123169
rotation,578,41,-0.143620
rotation,579,41,0.138718
rotation,580,41,0.101102
rotation,581,41,-0.002296
