family,replicate,n_trades,mean_r
rotation,0,290,-0.038116
rotation,1,290,0.078857
rotation,2,290,0.041134
rotation,3,290,-0.077050
rotation,4,290,-0.079689
rotation,5,290,0.083440
rotation,6,290,-0.116918
rotation,7,290,-0.092335
rotation,8,290,0.015581
rotation,9,290,0.027906
rotation,10,290,0.029920
rotation,11,290,-0.019488
rotation,12,290,-0.108311
rotation,13,290,-0.129434
rotation,14,290,-0.068160
rotation,15,290,-0.075552
rotation,16,290,-0.064842
rotation,17,290,-0.006323
rotation,18,291,-0.095011
rotation,19,290,-0.049633
rotation,20,290,0.033166
rotation,21,290,-0.061188
rotation,22,290,0.017947
rotation,23,290,-0.051774
rotation,24,290,-0.054049
rotation,25,290,-0.062633
rotation,26,290,-0.023621
rotation,27,290,0.029645
rotation,28,290,-0.002756
rotation,29,290,-0.019723
rotation,30,290,-0.037529
rotation,31,290,-0.021390
rotation,32,290,-0.027581
rotation,33,290,-0.075265
rotation,34,290,0.026724
rotation,35,291,-0.055252
rotation,36,290,0.030167
rotation,37,290,0.024466
rotation,38,290,0.013567
rotation,39,290,0.028297
rotation,40,290,-0.116025
rotation,41,290,0.004771
rotation,42,290,-0.015198
rotation,43,290,-0.009747
rotation,44,290,-0.067361
rotation,45,290,0.092972
rotation,46,290,-0.053897
rotation,47,290,-0.020107
rotation,48,290,-0.096998
rotation,49,290,-0.010492
rotation,50,290,-0.132794
rotation,51,290,-0.182394
rotation,52,290,-0.065109
rotation,53,290,0.012087
rotation,54,290,-0.018042
rotation,55,290,0.015596
rotation,56,290,-0.021237
rotation,57,290,-0.038258
rotation,58,290,0.040102
rotation,59,290,-0.064927
rotation,60,290,-0.013683
rotation,61,290,0.077823
rotation,62,290,-0.038706
rotation,63,290,0.001590
rotation,64,290,-0.053670
rotation,65,290,-0.125184
rotation,66,290,-0.073983
rotation,67,290,0.116867
rotation,68,290,0.110164
rotation,69,290,-0.031946
rotation,70,290,0.025747
rotation,71,290,-0.077560
rotation,72,290,0.009058
rotation,73,290,-0.047754
rotation,74,290,-0.080632
rotation,75,290,0.044898
rotation,76,290,-0.050879
rotation,77,290,0.040719
rotation,78,290,-0.064342
rotation,79,290,-0.092746
rotation,80,291,-0.086987
rotation,81,290,-0.025239
rotation,82,290,0.017191
rotation,83,290,-0.044263
rotation,84,290,-0.125787
rotation,85,290,-0.039853
rotation,86,290,-0.056125
rotation,87,290,-0.031544
rotation,88,290,0.020657
rotation,89,290,-0.040317
rotation,90,290,0.068978
rotation,91,290,-0.045757
rotation,92,290,0.026783
rotation,93,290,-0.046979
rotation,94,290,-0.015427
rotation,95,290,-0.084134
rotation,96,290,-0.054912
rotation,97,290,0.023588
rotation,98,290,-0.016761
rotation,99,290,-0.020085
rotation,100,290,0.000491
rotation,101,290,0.030718
rotation,102,290,-0.064779
rotation,103,290,0.055131
rotation,104,290,0.029793
rotation,105,290,0.040302
rotation,106,290,-0.017233
rotation,107,290,0.130113
rotation,108,290,0.077061
rotation,109,290,0.056642
rotation,110,290,0.049374
rotation,111,290,-0.068131
rotation,112,290,0.003699
rotation,113,290,-0.044885
rotation,114,290,0.000057
rotation,115,290,-0.014165
rotation,116,290,-0.108974
rotation,117,290,-0.010808
rotation,118,290,-0.031113
rotation,119,290,-0.057544
rotation,120,290,-0.011436
rotation,121,290,0.069906
rotation,122,290,0.104209
rotation,123,290,-0.099425
rotation,124,290,-0.030779
rotation,125,290,0.006837
rotation,126,290,-0.021848
rotation,127,290,-0.095723
rotation,128,290,-0.062236
rotation,129,290,0.000462
rotation,130,290,0.011933
rotation,131,290,0.003452
rotation,132,290,-0.035557
rotation,133,290,0.016719
rotation,134,290,-0.061337
rotation,135,290,-0.055364
rotation,136,290,-0.095281
rotation,137,290,-0.063636
rotation,138,290,0.005336
rotation,139,290,-0.029419
rotation,140,290,-0.000296
rotation,141,290,0.012870
rotation,142,291,0.020730
rotation,143,290,-0.009940
rotation,144,290,0.001405
rotation,145,290,0.001254
rotation,146,290,-0.041421
rotation,147,290,-0.035661
rotation,148,290,-0.027102
rotation,149,290,0.087462
rotation,150,290,0.061119
rotation,151,290,0.040441
rotation,152,290,-0.009687
rotation,153,290,-0.024015
rotation,154,290,-0.061873
rotation,155,290,-0.091392
rotation,156,290,-0.022424
rotation,157,290,-0.053223
rotation,158,290,-0.027673
rotation,159,290,0.008306
rotation,160,290,-0.044427
rotation,161,290,0.002479
rotation,162,290,-0.073909
rotation,163,290,0.011346
rotation,164,290,-0.017315
rotation,165,290,-0.003629
rotation,166,290,0.062764
rotation,167,290,0.025639
rotation,168,290,0.125367
rotation,169,290,-0.086384
rotation,170,290,-0.060096
rotation,171,290,0.005650
rotation,172,290,-0.006784
rotation,173,291,0.057336
rotation,174,290,0.004838
rotation,175,290,0.013202
rotation,176,290,0.009614
rotation,177,290,0.065027
rotation,178,290,-0.096964
rotation,179,290,0.080996
rotation,180,290,0.055172
rotation,181,290,0.002985
rotation,182,290,0.019892
rotation,183,290,0.081099
rotation,184,291,-0.067059
rotation,185,290,0.023456
rotation,186,290,-0.101360
rotation,187,290,-0.112509
rotation,188,290,-0.021158
rotation,189,290,-0.078082
rotation,190,290,0.061352
rotation,191,290,0.012707
rotation,192,290,-0.022678
rotation,193,290,-0.040419
rotation,194,290,-0.010242
rotation,195,291,-0.085339
rotation,196,290,-0.103481
rotation,197,290,-0.009728
rotation,198,290,-0.027933
rotation,199,290,0.007782
rotation,200,290,0.013687
rotation,201,290,0.026483
rotation,202,290,-0.025429
rotation,203,290,-0.026674
rotation,204,290,-0.082088
rotation,205,290,0.000657
rotation,206,290,-0.009806
rotation,207,290,-0.012415
rotation,208,290,-0.029641
rotation,209,290,-0.061123
rotation,210,290,0.099859
rotation,211,291,-0.048318
rotation,212,290,0.018938
rotation,213,290,0.007646
rotation,214,290,-0.062936
rotation,215,290,0.072324
rotation,216,290,0.001948
rotation,217,290,-0.069014
rotation,218,290,0.003868
rotation,219,290,-0.005345
rotation,220,290,-0.010906
rotation,221,290,-0.051906
rotation,222,290,-0.025095
rotation,223,290,-0.038610
rotation,224,290,-0.051978
rotation,225,290,-0.006722
rotation,226,291,-0.026207
rotation,227,290,0.057354
rotation,228,290,-0.067435
rotation,229,290,-0.054769
rotation,230,290,0.077921
rotation,231,290,-0.107204
rotation,232,290,-0.022879
rotation,233,290,-0.010137
rotation,234,290,-0.054906
rotation,235,290,-0.072576
rotation,236,290,0.030440
rotation,237,290,0.066592
rotation,238,290,0.009521
rotation,239,290,-0.042279
rotation,240,291,0.037232
rotation,241,290,-0.015483
rotation,242,290,0.002522
rotation,243,290,0.022553
rotation,244,290,0.062164
rotation,245,290,0.014325
rotation,246,290,-0.053837
rotation,247,290,0.064203
rotation,248,290,0.006256
rotation,249,290,0.037274
rotation,250,290,-0.015283
rotation,251,290,0.018090
rotation,252,290,0.026828
rotation,253,290,-0.099160
rotation,254,290,-0.021681
rotation,255,290,-0.110169
rotation,256,290,-0.180918
rotation,257,290,-0.054459
rotation,258,290,-0.071823
rotation,259,290,-0.031425
rotation,260,290,0.074326
rotation,261,290,-0.089125
rotation,262,290,0.057201
rotation,263,290,0.010327
rotation,264,291,0.009927
rotation,265,290,0.033484
rotation,266,290,0.112335
rotation,267,290,0.029427
rotation,268,290,-0.104481
rotation,269,290,-0.030532
rotation,270,290,-0.102868
rotation,271,290,-0.125977
rotation,272,290,-0.037791
rotation,273,290,0.014180
rotation,274,290,-0.024822
rotation,275,290,0.027398
rotation,276,290,-0.034207
rotation,277,290,-0.103285
rotation,278,290,-0.047370
rotation,279,290,0.021392
rotation,280,290,-0.010155
rotation,281,290,0.054761
rotation,282,290,0.009458
rotation,283,290,-0.097622
rotation,284,291,0.117330
rotation,285,290,0.020297
rotation,286,290,0.012269
rotation,287,290,0.012841
rotation,288,290,-0.033966
rotation,289,290,0.012431
rotation,290,290,0.038126
rotation,291,290,-0.002216
rotation,292,290,0.035985
rotation,293,290,0.043558
rotation,294,290,-0.034668
rotation,295,290,-0.036420
rotation,296,290,0.082132
rotation,297,290,-0.035265
rotation,298,290,0.042292
rotation,299,290,-0.057261
rotation,300,290,-0.027235
rotation,301,290,-0.014016
rotation,302,290,-0.014046
rotation,303,290,-0.037269
rotation,304,290,-0.059482
rotation,305,290,0.021235
rotation,306,290,-0.020707
rotation,307,290,-0.069092
rotation,308,290,-0.036700
rotation,309,290,-0.014419
rotation,310,290,-0.053380
rotation,311,290,-0.048709
rotation,312,290,-0.051371
rotation,313,290,0.040214
rotation,314,290,0.049795
rotation,315,290,-0.098218
rotation,316,290,0.056381
rotation,317,290,-0.075097
rotation,318,290,-0.017601
rotation,319,290,-0.040165
rotation,320,290,0.023948
rotation,321,290,0.011768
rotation,322,290,0.029453
rotation,323,290,0.007313
rotation,324,290,0.014641
rotation,325,290,-0.023908
rotation,326,290,0.004537
rotation,327,290,-0.142308
rotation,328,290,0.023179
rotation,329,290,-0.099082
rotation,330,290,-0.049088
rotation,331,291,0.040931
rotation,332,291,-0.005689
rotation,333,291,-0.055460
rotation,334,290,-0.065334
rotation,335,290,-0.058739
rotation,336,290,0.009615
rotation,337,290,0.006436
rotation,338,290,0.018044
rotation,339,290,-0.069675
rotation,340,290,-0.039253
rotation,341,290,0.014682
rotation,342,290,-0.051489
rotation,343,290,-0.069863
rotation,344,290,-0.132560
rotation,345,290,-0.022694
rotation,346,290,-0.126545
rotation,347,290,0.032705
rotation,348,290,-0.109691
rotation,349,290,-0.137230
rotation,350,290,-0.105260
rotation,351,290,0.054760
rotation,352,290,-0.037515
rotation,353,290,-0.040538
rotation,354,290,0.095257
rotation,355,290,-0.009439
rotation,356,290,0.016244
rotation,357,290,-0.076517
rotation,358,290,0.067839
rotation,359,290,0.016979
rotation,360,290,0.065961
rotation,361,290,-0.076184
rotation,362,290,-0.066171
rotation,363,290,-0.016814
rotation,364,290,-0.019681
rotation,365,290,-0.036262
rotation,366,290,-0.025759
rotation,367,290,-0.013448
rotation,368,290,-0.016731
rotation,369,290,-0.071062
rotation,370,290,-0.038170
rotation,371,290,0.037610
rotation,372,290,-0.076455
rotation,373,290,-0.007867
rotation,374,290,-0.032202
rotation,375,290,0.008777
rotation,376,290,-0.002217
rotation,377,290,-0.003158
rotation,378,290,-0.058413
rotation,379,290,-0.029156
rotation,380,290,-0.005796
rotation,381,290,0.054247
rotation,382,290,-0.001286
rotation,383,290,-0.032022
rotation,384,290,-0.053848
rotation,385,290,0.040685
rotation,386,290,0.003328
rotation,387,290,-0.027422
rotation,388,290,0.005152
rotation,389,290,-0.103591
rotation,390,290,0.016742
rotation,391,290,0.010468
rotation,392,290,-0.004519
rotation,393,290,0.019388
rotation,394,290,-0.010363
rotation,395,290,-0.025206
rotation,396,290,-0.050421
rotation,397,290,0.057482
rotation,398,290,0.079603
rotation,399,290,0.023706
rotation,400,290,-0.111700
rotation,401,290,-0.029558
rotation,402,290,-0.015538
rotation,403,290,-0.016872
rotation,404,290,-0.010351
rotation,405,290,-0.051077
rotation,406,290,0.001874
rotation,407,290,-0.049301
rotation,408,290,-0.026322
rotation,409,290,-0.017033
rotation,410,290,-0.039950
rotation,411,290,0.068412
rotation,412,290,-0.007349
rotation,413,290,0.010094
rotation,414,290,0.015738
rotation,415,290,-0.045248
rotation,416,290,0.020538
rotation,417,290,-0.113972
rotation,418,290,0.010459
rotation,419,290,0.001129
rotation,420,290,-0.088045
rotation,421,290,-0.005610
rotation,422,290,-0.071242
rotation,423,290,-0.010478
rotation,424,291,-0.059618
rotation,425,290,-0.074889
rotation,426,290,0.123884
rotation,427,290,-0.005377
rotation,428,290,-0.009027
rotation,429,290,-0.085276
rotation,430,290,-0.091360
rotation,431,290,-0.005375
rotation,432,290,0.011456
rotation,433,290,-0.002116
rotation,434,290,-0.013776
rotation,435,290,-0.048846
rotation,436,290,-0.086228
rotation,437,290,0.022060
rotation,438,290,0.017412
rotation,439,290,-0.044778
rotation,440,290,0.038341
rotation,441,290,-0.083152
rotation,442,290,0.024348
rotation,443,290,-0.049775
rotation,444,290,-0.050015
rotation,445,290,-0.023564
rotation,446,290,-0.047073
rotation,447,290,-0.035771
rotation,448,290,-0.029997
rotation,449,290,0.048985
rotation,450,290,0.021060
rotation,451,290,-0.100092
rotation,452,290,0.008212
rotation,453,290,-0.028199
rotation,454,290,-0.006528
rotation,455,290,-0.031994
rotation,456,290,-0.023531
rotation,457,290,0.013046
rotation,458,290,0.048272
rotation,459,290,-0.048323
rotation,460,290,0.043788
rotation,461,290,-0.031028
rotation,462,290,0.036162
rotation,463,290,0.050933
rotation,464,290,-0.025725
rotation,465,290,-0.007681
rotation,466,290,0.031232
rotation,467,291,0.113267
rotation,468,290,-0.027098
rotation,469,290,-0.003891
rotation,470,290,0.025407
rotation,471,290,-0.036218
rotation,472,290,-0.050233
rotation,473,290,-0.043387
rotation,474,290,-0.107003
rotation,475,290,0.031700
rotation,476,290,0.028693
rotation,477,290,-0.050601
rotation,478,290,-0.000786
rotation,479,290,-0.044343
rotation,480,290,0.014608
rotation,481,290,-0.120287
rotation,482,290,-0.078625
rotation,483,290,-0.099106
rotation,484,290,-0.081730
rotation,485,290,0.003468
rotation,486,290,-0.064553
rotation,487,290,0.006869
rotation,488,290,-0.011516
rotation,489,290,-0.033801
rotation,490,290,0.013813
rotation,491,290,0.043474
rotation,492,290,-0.028708
rotation,493,290,-0.031101
rotation,494,290,0.009798
rotation,495,290,-0.071281
rotation,496,290,0.056898
rotation,497,290,-0.018370
rotation,498,290,0.019617
rotation,499,290,-0.104098
rotation,500,290,-0.021720
rotation,501,290,-0.013180
rotation,502,290,0.059335
rotation,503,290,0.019333
rotation,504,290,-0.009156
rotation,505,290,0.098709
rotation,506,291,-0.046512
rotation,507,291,-0.085256
rotation,508,290,0.063547
rotation,509,290,-0.000715
rotation,510,290,-0.004224
rotation,511,290,-0.037824
rotation,512,290,0.008832
rotation,513,290,-0.001068
rotation,514,290,-0.097571
rotation,515,290,-0.042839
rotation,516,290,-0.104419
