family,replicate,n_trades,mean_r
rotation,0,134,0.039897
rotation,1,134,-0.045394
rotation,2,134,-0.022990
rotation,3,134,0.012583
rotation,4,134,-0.030106
rotation,5,134,-0.090159
rotation,6,134,-0.030001
rotation,7,134,-0.033986
rotation,8,134,-0.015696
rotation,9,134,-0.101364
rotation,10,134,-0.075481
rotation,11,134,0.016930
rotation,12,134,-0.036073
rotation,13,134,-0.020983
rotation,14,134,0.082400
rotation,15,135,-0.096451
rotation,16,134,-0.158783
rotation,17,134,-0.041181
rotation,18,134,0.069403
rotation,19,134,-0.000006
rotation,20,134,0.004324
rotation,21,134,0.006889
rotation,22,134,-0.071322
rotation,23,134,-0.111768
rotation,24,134,-0.049900
rotation,25,134,-0.038936
rotation,26,134,-0.000850
rotation,27,134,-0.024433
rotation,28,134,0.039607
rotation,29,134,-0.024728
rotation,30,134,-0.049059
rotation,31,134,-0.134635
rotation,32,134,-0.180362
rotation,33,134,-0.007890
rotation,34,134,-0.017390
rotation,35,134,-0.002252
rotation,36,134,0.019351
rotation,37,134,0.002218
rotation,38,134,-0.020115
rotation,39,134,0.108040
rotation,40,134,-0.088660
rotation,41,134,-0.099757
rotation,42,134,-0.103811
rotation,43,134,-0.100153
rotation,44,135,0.009530
rotation,45,134,-0.073750
rotation,46,134,-0.122249
rotation,47,134,-0.078522
rotation,48,134,0.027219
rotation,49,134,0.020293
rotation,50,134,-0.101413
rotation,51,134,0.023974
rotation,52,135,0.095942
rotation,53,134,0.054320
rotation,54,134,0.058624
rotation,55,134,0.014905
rotation,56,134,-0.102962
rotation,57,134,-0.000321
rotation,58,134,-0.119211
rotation,59,134,0.030477
rotation,60,134,0.021602
rotation,61,134,-0.010023
rotation,62,134,-0.026630
rotation,63,134,-0.001800
rotation,64,134,0.012428
rotation,65,134,0.004660
rotation,66,134,0.040037
rotation,67,134,-0.053052
rotation,68,134,-0.023053
rotation,69,134,-0.062180
rotation,70,134,0.018647
rotation,71,134,-0.098247
rotation,72,134,0.010568
rotation,73,134,0.099390
rotation,74,134,-0.016348
rotation,75,134,0.016198
rotation,76,134,-0.086011
rotation,77,134,0.018459
rotation,78,134,-0.025051
rotation,79,134,0.114471
rotation,80,134,-0.169387
rotation,81,134,-0.126393
rotation,82,134,-0.134306
rotation,83,134,-0.010110
rotation,84,134,-0.047281
rotation,85,134,-0.035874
rotation,86,134,-0.018408
rotation,87,134,-0.095542
rotation,88,134,-0.094643
rotation,89,134,-0.011194
rotation,90,134,-0.031023
rotation,91,134,-0.045979
rotation,92,134,-0.081883
rotation,93,134,-0.017298
rotation,94,134,0.090004
rotation,95,134,0.097902
rotation,96,134,-0.066639
rotation,97,134,-0.111476
rotation,98,134,0.058623
rotation,99,134,-0.116076
rotation,100,134,-0.034365
rotation,101,134,0.080697
rotation,102,134,-0.034394
rotation,103,134,-0.029581
rotation,104,134,-0.064213
rotation,105,134,-0.060006
rotation,106,134,0.077795
rotation,107,134,-0.059515
rotation,108,134,0.172015
rotation,109,134,-0.024552
rotation,110,134,-0.086516
rotation,111,134,-0.069147
rotation,112,134,0.033517
rotation,113,134,-0.062575
rotation,114,134,-0.096116
rotation,115,134,-0.029986
rotation,116,134,0.053964
rotation,117,134,-0.081970
rotation,118,134,0.044020
rotation,119,134,-0.065974
rotation,120,134,-0.044788
rotation,121,134,0.059824
rotation,122,134,0.231025
rotation,123,134,-0.103363
rotation,124,134,-0.054811
rotation,125,134,-0.092156
rotation,126,134,0.003086
rotation,127,134,0.036649
rotation,128,134,0.047758
rotation,129,134,0.093293
rotation,130,134,-0.062856
rotation,131,134,-0.049096
rotation,132,134,0.029779
rotation,133,134,-0.044099
rotation,134,134,-0.139866
rotation,135,134,-0.134802
rotation,136,134,-0.073025
rotation,137,134,-0.003600
rotation,138,134,-0.007585
rotation,139,134,-0.115654
rotation,140,134,-0.106203
rotation,141,134,0.060186
rotation,142,134,0.020089
rotation,143,134,-0.018845
rotation,144,134,0.030110
rotation,145,134,-0.007020
rotation,146,134,0.031622
rotation,147,135,0.094229
rotation,148,134,0.097110
rotation,149,134,0.017765
rotation,150,134,0.027135
rotation,151,134,-0.027255
rotation,152,134,-0.012268
rotation,153,134,0.018395
rotation,154,134,-0.061876
rotation,155,134,0.012493
rotation,156,134,-0.021625
rotation,157,134,-0.004448
rotation,158,134,0.019506
rotation,159,134,-0.106247
rotation,160,135,-0.023914
rotation,161,134,0.168833
rotation,162,134,-0.101282
rotation,163,134,-0.034335
rotation,164,134,-0.119682
rotation,165,134,-0.005675
rotation,166,134,0.022533
rotation,167,134,-0.044960
rotation,168,134,-0.013997
rotation,169,134,-0.188776
rotation,170,134,0.028272
rotation,171,134,-0.017604
rotation,172,134,-0.039426
rotation,173,134,-0.025370
rotation,174,134,0.014934
rotation,175,134,-0.130344
rotation,176,134,-0.160586
rotation,177,134,0.003625
rotation,178,134,-0.036981
rotation,179,134,-0.033202
rotation,180,134,0.023219
rotation,181,134,-0.097994
rotation,182,134,-0.079724
rotation,183,134,-0.078827
rotation,184,134,0.021292
rotation,185,134,0.010306
rotation,186,135,-0.028832
rotation,187,134,0.054619
rotation,188,134,-0.005318
rotation,189,134,-0.112956
rotation,190,134,-0.102507
rotation,191,134,0.026110
rotation,192,134,0.005420
rotation,193,134,0.054705
rotation,194,134,-0.039645
rotation,195,134,0.030816
rotation,196,134,-0.079298
rotation,197,134,-0.112760
rotation,198,134,-0.040460
rotation,199,134,-0.029845
rotation,200,134,-0.135294
rotation,201,134,0.029232
rotation,202,134,0.094386
rotation,203,134,0.039097
rotation,204,134,-0.111520
rotation,205,135,-0.023833
rotation,206,135,-0.056508
rotation,207,134,0.079349
rotation,208,134,-0.034257
rotation,209,134,-0.053335
rotation,210,134,0.097066
rotation,211,134,-0.146941
rotation,212,134,-0.122002
rotation,213,134,0.084249
rotation,214,134,-0.068914
rotation,215,134,0.057788
rotation,216,134,-0.178757
rotation,217,134,-0.127950
rotation,218,134,-0.043880
rotation,219,134,-0.037038
rotation,220,135,-0.035529
rotation,221,135,-0.009658
rotation,222,134,0.002490
rotation,223,134,-0.049995
rotation,224,134,0.050576
rotation,225,134,-0.005247
rotation,226,134,-0.021440
rotation,227,134,-0.053959
rotation,228,134,0.095926
rotation,229,134,0.111480
rotation,230,134,0.028681
rotation,231,135,-0.054063
rotation,232,134,0.018520
rotation,233,134,-0.100674
rotation,234,134,-0.082130
rotation,235,134,-0.041526
rotation,236,134,-0.128671
rotation,237,134,0.037557
rotation,238,134,0.006438
rotation,239,134,-0.044710
rotation,240,134,-0.078422
rotation,241,134,0.034514
rotation,242,134,0.055911
rotation,243,134,-0.121564
rotation,244,134,-0.017615
rotation,245,134,-0.029507
rotation,246,134,-0.074353
rotation,247,134,0.106040
rotation,248,134,-0.072297
rotation,249,134,0.007408
rotation,250,135,-0.041092
rotation,251,134,-0.033575
rotation,252,134,0.069636
rotation,253,134,-0.005847
rotation,254,134,-0.125640
rotation,255,134,-0.110073
rotation,256,134,-0.046083
rotation,257,134,-0.131996
rotation,258,134,0.105880
rotation,259,134,0.008979
rotation,260,134,-0.122566
rotation,261,134,-0.020718
rotation,262,134,-0.096556
rotation,263,134,0.065275
rotation,264,134,0.051233
rotation,265,134,0.088318
rotation,266,134,0.031999
rotation,267,134,-0.140938
rotation,268,134,-0.128657
rotation,269,134,0.023969
rotation,270,135,-0.138369
rotation,271,134,0.005206
rotation,272,134,-0.086681
rotation,273,134,-0.059344
rotation,274,134,-0.014771
rotation,275,134,-0.015597
rotation,276,134,0.005418
rotation,277,134,-0.015138
rotation,278,134,0.065854
rotation,279,135,-0.184947
rotation,280,134,-0.078008
rotation,281,134,-0.150478
rotation,282,134,-0.116604
rotation,283,134,-0.073347
rotation,284,134,0.041996
rotation,285,134,-0.046339
rotation,286,134,-0.030782
rotation,287,134,-0.047544
rotation,288,134,0.128133
rotation,289,134,-0.047365
rotation,290,135,-0.027611
rotation,291,134,-0.001086
rotation,292,134,-0.153886
rotation,293,134,-0.075983
rotation,294,134,-0.021469
rotation,295,134,0.031583
rotation,296,134,0.017762
rotation,297,134,0.077650
rotation,298,134,0.017159
rotation,299,134,-0.041162
rotation,300,134,0.004831
rotation,301,134,0.054800
rotation,302,134,0.051353
rotation,303,134,-0.033108
rotation,304,134,-0.003326
rotation,305,134,0.020326
rotation,306,134,0.028761
rotation,307,134,0.142584
rotation,308,134,0.100838
rotation,309,134,0.043222
rotation,310,134,-0.049967
rotation,311,134,0.084701
rotation,312,134,-0.056527
rotation,313,134,-0.006633
rotation,314,134,-0.078306
rotation,315,134,-0.061792
rotation,316,134,-0.104132
rotation,317,134,-0.050372
rotation,318,134,0.034670
rotation,319,134,-0.118294
rotation,320,134,-0.059538
rotation,321,134,-0.091936
rotation,322,134,-0.032571
rotation,323,134,-0.095972
rotation,324,134,-0.002399
rotation,325,134,0.058412
rotation,326,134,-0.097264
rotation,327,134,-0.008458
rotation,328,134,-0.041253
rotation,329,134,0.010390
rotation,330,134,0.071944
rotation,331,134,-0.152380
rotation,332,134,0.034582
rotation,333,134,0.013921
rotation,334,134,-0.050884
rotation,335,134,-0.011730
rotation,336,134,-0.041420
rotation,337,134,0.005505
rotation,338,134,-0.071840
rotation,339,134,0.038281
rotation,340,134,0.054276
rotation,341,134,0.067705
rotation,342,134,-0.011803
rotation,343,134,-0.048643
rotation,344,134,-0.060464
rotation,345,134,-0.176337
rotation,346,134,-0.003957
rotation,347,134,-0.112278
rotation,348,134,0.069354
rotation,349,135,-0.015310
rotation,350,134,0.036704
rotation,351,134,-0.036340
rotation,352,134,-0.020023
rotation,353,134,-0.017961
rotation,354,134,-0.019957
rotation,355,134,-0.084953
rotation,356,134,-0.020020
rotation,357,134,0.038448
rotation,358,134,-0.047801
rotation,359,134,-0.058609
rotation,360,134,0.097947
rotation,361,134,-0.066491
rotation,362,135,-0.165107
rotation,363,134,-0.072022
rotation,364,134,0.045984
rotation,365,134,0.089063
rotation,366,134,-0.041388
rotation,367,134,0.048659
rotation,368,134,-0.074148
rotation,369,134,-0.128856
rotation,370,134,-0.081463
rotation,371,134,-0.045411
rotation,372,134,-0.081987
rotation,373,134,0.002438
rotation,374,134,0.056157
rotation,375,134,-0.115577
rotation,376,134,0.056069
rotation,377,134,0.049385
rotation,378,134,-0.090979
rotation,379,134,0.096749
rotation,380,134,0.116580
rotation,381,134,-0.003584
