family,replicate,n_trades,mean_r
rotation,0,131,-0.100970
rotation,1,131,-0.040278
rotation,2,131,-0.019040
rotation,3,131,-0.064013
rotation,4,131,0.022129
rotation,5,131,0.059989
rotation,6,131,0.112751
rotation,7,131,-0.035954
rotation,8,131,-0.028978
rotation,9,131,0.029975
rotation,10,131,-0.066264
rotation,11,131,-0.019084
rotation,12,131,-0.094705
rotation,13,131,-0.048157
rotation,14,131,0.034005
rotation,15,131,-0.004726
rotation,16,131,-0.045621
rotation,17,131,-0.002685
rotation,18,131,0.098020
rotation,19,131,-0.149263
rotation,20,131,-0.250508
rotation,21,131,-0.034478
rotation,22,131,0.029586
rotation,23,131,0.020623
rotation,24,131,0.005905
rotation,25,131,0.035180
rotation,26,131,0.095942
rotation,27,131,-0.005787
rotation,28,131,0.042472
rotation,29,131,0.039264
rotation,30,131,-0.106138
rotation,31,131,0.083665
rotation,32,131,0.080117
rotation,33,131,-0.001135
rotation,34,131,0.001259
rotation,35,131,-0.077147
rotation,36,131,-0.028012
rotation,37,131,-0.067905
rotation,38,131,0.013344
rotation,39,131,-0.001324
rotation,40,131,-0.059539
rotation,41,131,0.056347
rotation,42,132,-0.031049
rotation,43,131,0.058555
rotation,44,132,0.120253
rotation,45,131,-0.093538
rotation,46,131,0.015559
rotation,47,131,-0.062425
rotation,48,131,-0.048425
rotation,49,131,0.012876
rotation,50,131,-0.019271
rotation,51,131,-0.048990
rotation,52,131,0.092886
rotation,53,131,-0.115964
rotation,54,131,-0.098717
rotation,55,131,-0.070999
rotation,56,131,-0.018058
rotation,57,131,0.020995
rotation,58,131,-0.069805
rotation,59,131,0.007984
rotation,60,131,-0.037411
rotation,61,131,0.040695
rotation,62,131,0.010157
rotation,63,131,0.095631
rotation,64,131,-0.023686
rotation,65,131,-0.020915
rotation,66,131,-0.071660
rotation,67,131,0.010996
rotation,68,131,-0.100000
rotation,69,131,-0.035560
rotation,70,131,0.063853
rotation,71,131,0.000909
rotation,72,131,0.003678
rotation,73,131,0.013446
rotation,74,131,-0.029258
rotation,75,131,-0.015767
rotation,76,131,0.029136
rotation,77,131,0.021586
rotation,78,131,-0.113244
rotation,79,131,0.082710
rotation,80,131,-0.017397
rotation,81,131,0.047333
rotation,82,131,-0.058659
rotation,83,131,-0.092254
rotation,84,131,-0.096688
rotation,85,131,-0.033442
rotation,86,131,0.031439
rotation,87,131,0.021647
rotation,88,131,-0.279968
rotation,89,131,-0.081378
rotation,90,131,0.183399
rotation,91,131,0.010545
rotation,92,131,0.004054
rotation,93,131,-0.006788
rotation,94,131,0.031674
rotation,95,131,0.048137
rotation,96,131,-0.059592
rotation,97,131,0.056367
rotation,98,131,-0.033618
rotation,99,131,0.037638
rotation,100,131,-0.031355
rotation,101,131,0.045277
rotation,102,131,0.012797
rotation,103,131,0.092684
rotation,104,131,-0.001762
rotation,105,131,-0.038496
rotation,106,131,0.093562
rotation,107,131,-0.048364
rotation,108,131,-0.047016
rotation,109,131,0.259614
rotation,110,131,-0.011417
rotation,111,131,-0.006492
rotation,112,131,-0.060523
rotation,113,131,0.024132
rotation,114,131,0.044241
rotation,115,131,-0.064727
rotation,116,131,0.025080
rotation,117,131,-0.013911
rotation,118,131,-0.057228
rotation,119,131,0.029207
rotation,120,131,0.006640
rotation,121,131,0.022756
rotation,122,131,-0.068405
rotation,123,131,0.071643
rotation,124,131,0.039763
rotation,125,131,-0.084116
rotation,126,131,0.017458
rotation,127,131,0.058073
rotation,128,131,0.055677
rotation,129,131,-0.100019
rotation,130,132,0.041482
rotation,131,131,-0.054056
rotation,132,131,-0.027701
rotation,133,131,0.043481
rotation,134,131,-0.154086
rotation,135,131,-0.019963
rotation,136,131,0.062241
rotation,137,131,-0.028965
rotation,138,131,0.085665
rotation,139,131,-0.084153
rotation,140,131,-0.051756
rotation,141,131,0.149941
rotation,142,131,-0.081692
rotation,143,131,0.003876
rotation,144,131,0.030700
rotation,145,131,-0.034605
rotation,146,131,-0.056588
rotation,147,131,0.037573
rotation,148,131,-0.004538
rotation,149,131,-0.024643
rotation,150,131,0.056137
rotation,151,131,0.084733
rotation,152,131,-0.047120
rotation,153,131,-0.013658
rotation,154,131,0.090379
rotation,155,131,0.025208
rotation,156,131,-0.078113
rotation,157,131,0.066742
rotation,158,131,0.071662
rotation,159,131,-0.147747
rotation,160,132,0.028672
rotation,161,131,0.155405
rotation,162,131,0.046127
rotation,163,131,0.085041
rotation,164,131,-0.063273
rotation,165,131,-0.028294
rotation,166,131,0.047041
rotation,167,131,-0.138698
rotation,168,131,-0.023505
rotation,169,131,0.001283
rotation,170,131,-0.003936
rotation,171,131,0.048348
rotation,172,131,0.000020
rotation,173,131,0.114049
rotation,174,131,-0.209129
rotation,175,131,-0.017846
rotation,176,131,0.050771
rotation,177,131,-0.084326
rotation,178,131,-0.052709
rotation,179,131,-0.076847
rotation,180,131,0.009869
rotation,181,131,0.087248
rotation,182,131,0.009277
rotation,183,131,-0.070543
rotation,184,131,0.019289
rotation,185,131,0.005027
rotation,186,131,-0.105994
rotation,187,131,0.015623
rotation,188,131,0.001932
rotation,189,131,0.055233
rotation,190,131,-0.131385
rotation,191,131,-0.025795
rotation,192,131,0.062556
rotation,193,131,-0.152293
rotation,194,131,-0.015978
rotation,195,131,0.054348
rotation,196,131,-0.028581
rotation,197,131,-0.061813
rotation,198,131,-0.012344
rotation,199,131,-0.100611
rotation,200,131,-0.024720
rotation,201,131,0.001878
rotation,202,131,0.080103
rotation,203,131,-0.128357
rotation,204,131,0.021306
rotation,205,131,-0.085998
rotation,206,131,-0.067910
rotation,207,131,-0.065071
rotation,208,131,0.056681
