family,replicate,n_trades,mean_r
rotation,0,76,-0.269244
rotation,1,76,-0.095068
rotation,2,76,-0.039365
rotation,3,76,-0.088294
rotation,4,76,-0.082636
rotation,5,76,-0.148709
rotation,6,76,-0.077325
rotation,7,76,0.099377
rotation,8,76,-0.060700
rotation,9,76,-0.098276
rotation,10,76,0.226004
rotation,11,76,0.226360
rotation,12,76,0.144876
rotation,13,76,0.201814
rotation,14,76,0.116229
rotation,15,76,0.096958
rotation,16,76,0.055774
rotation,17,76,-0.224164
rotation,18,76,-0.128528
rotation,19,76,-0.026221
rotation,20,76,0.080058
rotation,21,76,0.088678
rotation,22,76,-0.341159
rotation,23,76,-0.039262
rotation,24,76,0.114376
rotation,25,76,0.220538
rotation,26,76,0.129231
rotation,27,76,0.082103
rotation,28,76,0.147534
rotation,29,76,-0.097323
rotation,30,76,0.041565
rotation,31,76,-0.024200
rotation,32,76,0.178595
rotation,33,76,0.149969
rotation,34,76,0.098016
rotation,35,76,0.025300
rotation,36,76,0.137728
rotation,37,76,0.103510
rotation,38,76,0.054140
rotation,39,76,0.056615
rotation,40,76,0.128669
rotation,41,76,0.006727
rotation,42,76,-0.108444
rotation,43,76,-0.061586
rotation,44,76,-0.071227
rotation,45,76,0.035470
rotation,46,76,-0.185172
rotation,47,76,-0.069242
rotation,48,76,0.041307
rotation,49,76,0.091156
rotation,50,76,0.023041
rotation,51,76,-0.209072
rotation,52,76,0.082278
rotation,53,76,0.136642
rotation,54,76,0.019837
rotation,55,76,-0.110642
rotation,56,76,-0.167548
rotation,57,76,-0.026815
rotation,58,76,0.013600
rotation,59,76,-0.165692
rotation,60,76,-0.089334
rotation,61,76,0.088653
rotation,62,76,0.110052
rotation,63,76,-0.092244
rotation,64,76,0.014630
rotation,65,76,-0.063069
rotation,66,76,-0.116684
rotation,67,76,0.273784
rotation,68,76,-0.047420
rotation,69,76,0.128477
rotation,70,76,0.210635
rotation,71,76,-0.067929
rotation,72,76,0.048886
rotation,73,76,-0.069551
rotation,74,76,0.137288
rotation,75,76,0.021284
rotation,76,76,0.038789
rotation,77,76,0.083782
rotation,78,76,0.192019
rotation,79,76,0.062804
rotation,80,76,0.063208
rotation,81,76,0.026685
rotation,82,76,-0.084949
rotation,83,76,0.029363
rotation,84,76,0.224433
rotation,85,76,0.203551
rotation,86,76,0.155599
rotation,87,76,-0.067824
rotation,88,76,-0.214270
rotation,89,76,0.148723
rotation,90,76,-0.026666
rotation,91,76,0.079482
rotation,92,76,-0.205532
rotation,93,76,0.010673
rotation,94,76,-0.100389
rotation,95,76,-0.024773
rotation,96,76,0.070740
rotation,97,76,0.155025
rotation,98,76,-0.143902
rotation,99,76,0.091265
rotation,100,76,-0.056020
rotation,101,76,-0.025311
rotation,102,76,0.185399
rotation,103,76,0.030069
rotation,104,76,0.154002
rotation,105,76,0.103250
rotation,106,76,-0.033471
rotation,107,76,0.064905
rotation,108,76,-0.004105
rotation,109,76,0.052428
rotation,110,76,-0.147105
rotation,111,76,0.069589
rotation,112,77,0.117849
rotation,113,76,-0.055664
rotation,114,76,-0.087731
rotation,115,76,0.015373
rotation,116,76,0.013978
rotation,117,77,0.038910
rotation,118,76,-0.029495
rotation,119,76,0.066812
rotation,120,76,-0.027021
rotation,121,76,-0.096973
rotation,122,76,-0.084468
rotation,123,76,-0.143524
rotation,124,76,-0.317686
rotation,125,76,0.064175
rotation,126,76,0.122096
rotation,127,76,0.104244
rotation,128,76,-0.223405
rotation,129,76,0.064518
rotation,130,76,-0.072880
rotation,131,76,-0.224910
rotation,132,76,-0.064336
rotation,133,76,-0.140847
rotation,134,76,-0.187440
rotation,135,76,0.257538
rotation,136,76,-0.005008
rotation,137,76,-0.025904
rotation,138,76,0.163142
rotation,139,76,0.018392
rotation,140,76,0.006577
rotation,141,76,0.246637
rotation,142,76,0.089786
rotation,143,76,0.045905
rotation,144,76,-0.114483
rotation,145,76,0.078012
rotation,146,76,0.016887
rotation,147,76,-0.071606
rotation,148,76,0.033244
rotation,149,76,-0.037389
rotation,150,76,-0.010035
rotation,151,76,0.225049
rotation,152,76,-0.038354
rotation,153,76,-0.031025
rotation,154,76,-0.099182
rotation,155,76,0.019462
rotation,156,76,-0.025287
rotation,157,76,0.038584
rotation,158,76,0.068462
rotation,159,76,-0.199875
rotation,160,76,-0.128002
rotation,161,76,-0.116260
rotation,162,76,0.080998
rotation,163,76,-0.105064
rotation,164,76,-0.061701
rotation,165,76,0.052067
rotation,166,76,0.021041
rotation,167,76,0.038517
rotation,168,76,-0.124059
rotation,169,76,0.223554
rotation,170,76,0.131196
rotation,171,76,-0.135392
rotation,172,76,0.088359
rotation,173,76,0.054195
rotation,174,76,-0.015676
rotation,175,76,0.012635
rotation,176,76,0.028935
rotation,177,76,-0.092273
rotation,178,76,-0.036181
rotation,179,76,-0.040239
rotation,180,76,0.169654
rotation,181,76,-0.064893
rotation,182,76,-0.097211
rotation,183,76,0.045380
rotation,184,76,-0.151577
rotation,185,76,-0.104119
rotation,186,77,-0.041749
rotation,187,76,0.007520
rotation,188,76,0.007626
rotation,189,76,0.167284
rotation,190,76,0.014596
rotation,191,76,0.120231
