family,replicate,n_trades,mean_r
rotation,0,86,-0.062361
rotation,1,85,-0.139804
rotation,2,85,-0.037005
rotation,3,85,0.013671
rotation,4,85,-0.049109
rotation,5,85,-0.060091
rotation,6,85,-0.015266
rotation,7,85,-0.093838
rotation,8,86,-0.141534
rotation,9,85,-0.125762
rotation,10,86,-0.126715
rotation,11,85,-0.119157
rotation,12,85,-0.105322
rotation,13,85,-0.094645
rotation,14,85,-0.111704
rotation,15,85,0.003377
rotation,16,85,-0.121347
rotation,17,85,0.018853
rotation,18,86,-0.093823
rotation,19,85,-0.307008
rotation,20,85,0.044065
rotation,21,85,-0.071759
rotation,22,85,-0.142283
rotation,23,86,-0.165462
rotation,24,85,-0.174295
rotation,25,86,-0.149866
rotation,26,86,-0.097011
rotation,27,85,-0.192458
rotation,28,85,0.005738
rotation,29,86,-0.111805
rotation,30,86,-0.052487
rotation,31,85,-0.162417
rotation,32,85,-0.058609
rotation,33,86,0.011184
rotation,34,85,-0.084524
rotation,35,86,-0.111803
rotation,36,85,-0.185933
rotation,37,85,0.031566
rotation,38,85,-0.138814
rotation,39,85,-0.247307
rotation,40,85,0.024241
rotation,41,85,0.017050
rotation,42,86,0.002745
rotation,43,85,-0.137709
rotation,44,85,0.006968
rotation,45,85,-0.077375
rotation,46,86,-0.070388
rotation,47,85,-0.072285
rotation,48,86,0.029318
rotation,49,85,-0.025900
rotation,50,85,-0.095363
rotation,51,85,-0.041484
rotation,52,86,-0.077035
rotation,53,85,-0.063538
rotation,54,85,-0.268480
rotation,55,85,-0.051070
rotation,56,85,-0.158805
rotation,57,85,-0.235342
rotation,58,85,0.073674
rotation,59,85,-0.278143
rotation,60,85,-0.066742
rotation,61,85,-0.121589
rotation,62,85,-0.101651
rotation,63,85,0.051644
rotation,64,85,-0.045441
rotation,65,85,-0.172445
rotation,66,86,-0.070836
rotation,67,86,-0.195016
rotation,68,85,0.008429
rotation,69,86,-0.257322
rotation,70,85,-0.124158
rotation,71,85,-0.099272
rotation,72,85,-0.085304
rotation,73,86,-0.001871
rotation,74,85,-0.059287
rotation,75,86,0.000061
rotation,76,85,-0.168609
rotation,77,85,-0.170938
rotation,78,85,-0.014837
rotation,79,86,-0.139260
rotation,80,86,-0.040563
rotation,81,85,0.110263
rotation,82,86,-0.111582
