family,replicate,n_trades,mean_r
rotation,0,77,-0.035407
rotation,1,76,-0.072062
rotation,2,77,-0.078453
rotation,3,76,-0.058544
rotation,4,76,-0.010286
rotation,5,76,-0.069281
rotation,6,76,-0.011887
rotation,7,76,-0.199344
rotation,8,77,-0.001089
rotation,9,76,-0.159753
rotation,10,77,-0.155423
rotation,11,76,0.042448
rotation,12,76,0.054607
rotation,13,76,0.041513
rotation,14,76,-0.140097
rotation,15,76,0.034873
rotation,16,76,0.002669
rotation,17,76,-0.019261
rotation,18,77,0.042802
rotation,19,76,-0.051525
rotation,20,76,-0.016009
rotation,21,76,0.094515
rotation,22,76,-0.139913
rotation,23,77,-0.014190
rotation,24,76,-0.112065
rotation,25,77,0.020003
rotation,26,76,-0.075210
rotation,27,76,-0.078548
rotation,28,76,-0.155322
rotation,29,77,-0.116137
rotation,30,77,0.003956
rotation,31,76,-0.009281
rotation,32,76,-0.022943
rotation,33,76,0.101873
rotation,34,76,-0.161732
rotation,35,77,0.058795
rotation,36,76,-0.019880
rotation,37,76,0.059169
rotation,38,76,0.079940
rotation,39,76,-0.084502
rotation,40,76,-0.007356
rotation,41,76,0.008941
rotation,42,77,0.076167
rotation,43,76,-0.045461
rotation,44,76,-0.029682
rotation,45,76,0.120130
rotation,46,77,0.055380
rotation,47,76,-0.022380
rotation,48,76,0.022970
rotation,49,76,-0.230198
rotation,50,76,-0.201369
rotation,51,76,-0.093125
rotation,52,77,0.029141
rotation,53,76,-0.005269
rotation,54,76,-0.168678
rotation,55,76,-0.125217
rotation,56,76,-0.088644
rotation,57,76,-0.250077
rotation,58,76,-0.065065
rotation,59,76,0.115880
rotation,60,76,-0.128686
rotation,61,76,-0.137824
rotation,62,76,0.010676
rotation,63,76,0.048741
rotation,64,76,-0.081057
rotation,65,76,-0.160975
rotation,66,77,-0.123318
rotation,67,77,-0.032056
rotation,68,76,0.004417
rotation,69,77,-0.049529
rotation,70,76,0.008217
rotation,71,76,-0.102669
rotation,72,76,-0.128498
rotation,73,76,0.041673
rotation,74,76,0.025376
rotation,75,77,-0.022683
rotation,76,76,0.159107
rotation,77,76,-0.075996
rotation,78,76,-0.038543
rotation,79,77,0.006749
rotation,80,77,-0.007420
rotation,81,76,-0.046873
rotation,82,77,-0.196715
rotation,83,76,0.029554
rotation,84,76,-0.058368
rotation,85,76,-0.070553
rotation,86,76,-0.126666
rotation,87,76,-0.097138
rotation,88,76,-0.145108
rotation,89,76,-0.078889
rotation,90,76,-0.077486
rotation,91,76,-0.044016
rotation,92,77,-0.091151
