family,replicate,n_trades,mean_r
rotation,0,163,-0.021787
rotation,1,162,-0.106439
rotation,2,163,0.094610
rotation,3,162,-0.098774
rotation,4,162,-0.061301
rotation,5,162,0.001239
rotation,6,162,-0.069736
rotation,7,162,-0.056899
rotation,8,163,0.006862
rotation,9,162,0.045852
rotation,10,163,0.110128
rotation,11,162,-0.044837
rotation,12,162,-0.020563
rotation,13,162,-0.027060
rotation,14,162,0.012110
rotation,15,162,-0.021778
rotation,16,162,-0.058504
rotation,17,162,0.042758
rotation,18,163,-0.017451
rotation,19,162,-0.085197
rotation,20,162,-0.035274
rotation,21,162,-0.016303
rotation,22,162,-0.093360
rotation,23,163,-0.042596
rotation,24,162,-0.058014
rotation,25,163,-0.070687
rotation,26,162,-0.007671
rotation,27,162,0.002521
rotation,28,162,-0.066045
rotation,29,163,-0.101682
rotation,30,163,-0.027452
rotation,31,162,0.008156
rotation,32,162,-0.125758
rotation,33,163,0.054534
rotation,34,162,0.037548
rotation,35,163,-0.000531
rotation,36,162,-0.036391
rotation,37,162,-0.032771
rotation,38,162,0.118707
rotation,39,162,-0.107600
rotation,40,163,-0.046020
rotation,41,162,-0.130669
rotation,42,163,0.022043
rotation,43,162,-0.098877
rotation,44,162,-0.046781
rotation,45,162,-0.059309
rotation,46,163,-0.054662
rotation,47,162,-0.140767
rotation,48,163,-0.027599
rotation,49,162,-0.030773
rotation,50,162,-0.053847
rotation,51,162,-0.150899
rotation,52,163,-0.054386
rotation,53,162,-0.075271
rotation,54,162,0.003892
rotation,55,162,-0.072324
rotation,56,162,-0.056853
rotation,57,162,0.063877
rotation,58,162,0.017714
rotation,59,162,-0.077627
rotation,60,162,-0.089304
rotation,61,162,-0.015709
rotation,62,162,-0.054847
rotation,63,162,-0.127703
rotation,64,162,-0.092629
rotation,65,162,-0.142023
rotation,66,163,-0.013769
rotation,67,163,0.045289
rotation,68,162,-0.023936
rotation,69,163,0.070588
rotation,70,162,0.092723
rotation,71,162,-0.125943
rotation,72,162,-0.010996
rotation,73,162,-0.041857
rotation,74,162,0.009309
rotation,75,163,-0.034582
rotation,76,162,0.097051
rotation,77,162,0.088112
rotation,78,162,0.047692
rotation,79,162,-0.070182
rotation,80,163,-0.022517
rotation,81,162,-0.085922
rotation,82,163,-0.094992
rotation,83,162,0.006358
rotation,84,163,0.013120
rotation,85,162,-0.082535
rotation,86,162,0.072732
rotation,87,162,-0.011326
rotation,88,163,0.032776
rotation,89,162,-0.010818
rotation,90,162,-0.159941
rotation,91,162,-0.078568
rotation,92,163,0.076728
rotation,93,162,0.064524
rotation,94,162,-0.023984
rotation,95,162,0.005845
rotation,96,162,-0.082952
rotation,97,162,-0.087673
rotation,98,162,-0.047616
rotation,99,162,-0.064351
rotation,100,162,-0.108734
rotation,101,162,-0.055313
rotation,102,162,-0.165229
rotation,103,162,-0.121101
rotation,104,162,0.003801
rotation,105,163,-0.084588
rotation,106,162,0.027057
rotation,107,162,-0.078682
rotation,108,162,-0.097411
