family,replicate,n_trades,mean_r
rotation,0,41,-0.004252
rotation,1,42,-0.091820
rotation,2,41,0.169218
rotation,3,41,0.060006
rotation,4,41,-0.129259
rotation,5,41,-0.205571
rotation,6,41,-0.172829
rotation,7,41,0.186647
rotation,8,41,0.114088
rotation,9,41,-0.286205
rotation,10,41,-0.166686
rotation,11,41,0.003316
rotation,12,41,0.012145
rotation,13,41,0.118185
rotation,14,41,-0.076182
rotation,15,42,0.109666
rotation,16,41,0.211207
rotation,17,41,0.039955
rotation,18,42,-0.159521
rotation,19,41,-0.054731
rotation,20,41,-0.121951
rotation,21,42,0.078259
rotation,22,41,0.141054
rotation,23,41,-0.106145
rotation,24,41,0.030549
rotation,25,41,-0.141608
rotation,26,42,0.029936
rotation,27,41,-0.108193
rotation,28,41,0.043442
rotation,29,41,0.055682
rotation,30,41,-0.041406
rotation,31,41,-0.033096
rotation,32,41,0.111135
rotation,33,41,-0.097338
rotation,34,41,0.096103
rotation,35,42,-0.246899
rotation,36,41,0.037616
rotation,37,41,0.227846
rotation,38,41,0.086193
rotation,39,41,0.007561
rotation,40,41,-0.201662
rotation,41,41,0.009496
rotation,42,41,-0.120694
rotation,43,41,0.097739
rotation,44,41,-0.019335
rotation,45,42,0.020283
rotation,46,41,0.018425
rotation,47,41,0.026109
rotation,48,41,-0.110672
rotation,49,41,0.095714
rotation,50,41,-0.035063
rotation,51,41,-0.509899
rotation,52,41,0.031901
rotation,53,42,-0.142752
rotation,54,41,-0.192383
rotation,55,41,-0.128690
rotation,56,41,0.094733
rotation,57,41,0.048711
rotation,58,42,-0.081829
rotation,59,41,0.154569
rotation,60,41,-0.152964
rotation,61,41,-0.048032
rotation,62,41,-0.243578
rotation,63,41,-0.152687
rotation,64,41,-0.133838
rotation,65,42,-0.130119
rotation,66,41,-0.077789
rotation,67,41,-0.144467
rotation,68,41,-0.069081
rotation,69,41,-0.126301
rotation,70,42,-0.007072
rotation,71,41,-0.069988
rotation,72,41,0.061318
rotation,73,41,-0.162779
rotation,74,41,-0.069187
rotation,75,41,0.037548
rotation,76,41,-0.151084
rotation,77,41,-0.144453
rotation,78,41,0.185682
rotation,79,42,-0.050171
rotation,80,41,0.149730
rotation,81,41,0.120795
rotation,82,41,0.136287
rotation,83,41,0.212366
rotation,84,41,-0.148242
rotation,85,41,-0.112347
rotation,86,41,-0.269090
rotation,87,41,0.102676
rotation,88,41,-0.056103
rotation,89,41,0.055196
rotation,90,41,-0.011377
rotation,91,41,0.062294
rotation,92,41,-0.279603
rotation,93,41,-0.123832
rotation,94,42,0.120161
rotation,95,41,0.010079
rotation,96,41,-0.101209
rotation,97,41,0.088901
rotation,98,41,-0.179486
rotation,99,41,-0.059886
rotation,100,41,-0.258283
rotation,101,41,0.126616
rotation,102,41,-0.083325
rotation,103,41,-0.212369
rotation,104,41,-0.010097
rotation,105,42,-0.115025
rotation,106,41,-0.103992
rotation,107,41,0.197743
rotation,108,41,-0.088318
rotation,109,41,0.048102
rotation,110,41,-0.239952
rotation,111,41,-0.100407
rotation,112,41,0.075368
rotation,113,41,-0.161162
rotation,114,41,-0.061292
rotation,115,41,0.119202
rotation,116,42,-0.197959
rotation,117,41,-0.012731
rotation,118,41,0.215096
rotation,119,41,-0.045649
rotation,120,41,0.069688
rotation,121,41,-0.198755
rotation,122,41,0.045136
rotation,123,41,0.000950
rotation,124,41,-0.096564
rotation,125,41,0.021304
rotation,126,41,-0.097790
rotation,127,42,-0.288480
rotation,128,42,-0.283233
rotation,129,41,0.083018
rotation,130,41,-0.137778
rotation,131,41,-0.335861
rotation,132,41,-0.120781
rotation,133,41,-0.016810
rotation,134,41,0.069730
rotation,135,41,0.101003
rotation,136,41,-0.015962
rotation,137,41,0.007731
rotation,138,41,-0.306279
rotation,139,41,0.026478
rotation,140,41,0.032280
rotation,141,41,0.010375
rotation,142,41,-0.039836
rotation,143,41,-0.068625
rotation,144,41,0.082141
rotation,145,42,0.015671
rotation,146,41,0.095115
rotation,147,42,0.100617
rotation,148,41,0.121463
rotation,149,41,-0.138004
rotation,150,41,-0.118034
rotation,151,41,0.153107
rotation,152,41,-0.099319
rotation,153,41,0.004058
rotation,154,41,-0.191094
rotation,155,41,0.110742
rotation,156,41,-0.084027
rotation,157,41,0.097235
rotation,158,41,-0.003900
rotation,159,41,0.194285
rotation,160,41,0.125556
rotation,161,41,-0.051460
rotation,162,41,0.026998
rotation,163,41,0.132093
rotation,164,41,-0.263660
rotation,165,41,-0.069072
rotation,166,42,0.020059
rotation,167,41,-0.102935
rotation,168,41,0.101491
rotation,169,41,-0.050383
rotation,170,41,-0.242571
rotation,171,41,-0.094110
rotation,172,42,-0.072607
rotation,173,41,-0.025529
rotation,174,41,0.008401
rotation,175,41,0.025405
rotation,176,41,-0.048752
rotation,177,42,-0.102935
rotation,178,41,0.131366
